Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	LFQ intensity Naive 1	LFQ intensity Naive 2	LFQ intensity Naive 3	LFQ intensity Naive+PRC2i 1	LFQ intensity Naive+PRC2i 2	LFQ intensity Naive+PRC2i 3	log2 fold change	p-value
A0A024QZQ1;Q96EB6;E9PC49;B0QZ35;B3KNK3	A0A024QZQ1;Q96EB6;E9PC49;B0QZ35	NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment	SIRT1	28.3274	28.31194	28.48662	28.20013	28.22623	28.31328	0.128770192	0.918592028
A0A024QZR3;B3KPC1;Q9BRX2	A0A024QZR3;B3KPC1;Q9BRX2	Protein pelota homolog	hCG_2002731;PELO	24.22185	23.59434	23.61919	22.26587	22.31907	24.39369	0.818915685	0.48847614
A0A024QZR5;Q9Y2T2;B4DRN6;Q8NDP0;H0YBM0;H0YBA0;E7ER80	A0A024QZR5;Q9Y2T2;B4DRN6;Q8NDP0	AP-3 complex subunit mu-1	AP3M1;DKFZp586G1518	25.34567	24.97329	23.89865	25.00209	25.52019	24.8839	-0.396190643	0.345016788
A0A024QZT2;Q96KP1;B3KPN7;B4DZI7;Q2MDF5	A0A024QZT2;Q96KP1;B3KPN7;B4DZI7	Exocyst complex component 2	EXOC2	24.26657	24.47414	24.56133	25.75562	25.70219	24.7891	-0.981625875	1.404896723
A0A024QZT4;P50453;C9J7N5;B4DDY9;A0A0C4DGW9;O75830	A0A024QZT4;P50453	Serpin B9	SERPINB9	31.97073	31.90523	31.31851	31.38268	31.90606	31.27758	0.209383011	0.299162339
A0A024QZU8;Q92766;C9JU34;A0A087X055;C9JPJ6;C9JE09	A0A024QZU8;Q92766;C9JU34	Ras-responsive element-binding protein 1	RREB1	28.66047	28.69139	28.84667	28.61579	28.56783	28.84251	0.057468414	0.218435034
A0A024QZW3;Q96S59;A0A024R014;O60738	A0A024QZW3;Q96S59;A0A024R014	Ran-binding protein 9	RANBP9	24.67573	24.17287	24.15707	24.16185	24.55069	24.65939	-0.122083664	0.207487902
A0A024QZW7;P49790	A0A024QZW7;P49790	Nuclear pore complex protein Nup153	NUP153	31.96282	31.63914	31.91528	31.73775	31.52014	31.82938	0.143321991	0.452827664
A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;Q8IXH2;A0A024QZT8;C9JTJ8;C9JVA8	A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;Q8IXH2;A0A024QZT8	Serpin B6	SERPINB6	28.13252	28.06183	28.2332	28.18731	28.28758	28.16346	-0.070266088	0.488830151
A0A024QZY4;O00635;Q59EA5;Q6MZQ5	A0A024QZY4;O00635;Q59EA5;Q6MZQ5	E3 ubiquitin-protein ligase TRIM38	TRIM38;DKFZp686F23130	24.49905	24.15027	24.30494	23.8739	24.32409	24.24235	0.171310425	0.427188723
A0A024QZY5;Q13523;B4DZQ5;H0YDJ3;D3DWH5;Q15456	A0A024QZY5;Q13523;B4DZQ5;H0YDJ3	Serine/threonine-protein kinase PRP4 homolog	PRPF4B	31.05821	30.77957	30.92642	30.76208	30.5244	30.68186	0.26528422	1.170837099
A0A024R029;Q9ULW3	A0A024R029;Q9ULW3	Activator of basal transcription 1	ABT1	28.91016	28.73146	28.84278	28.89952	28.64293	28.84005	0.033972422	0.133991347
A0A024R071;O75694;B4DLT2;E9PF10;D6RA13	A0A024R071;O75694;B4DLT2;E9PF10	Nuclear pore complex protein Nup155	NUP155	31.61619	31.76762	31.79622	31.83662	31.8595	31.66751	-0.061197917	0.302076779
A0A024R0A8;O43865;Q2NKW8;Q6ZMM9;Q9BTL0;O43210;Q6ZMI1	A0A024R0A8;O43865;Q2NKW8;Q6ZMM9	Adenosylhomocysteinase;Putative adenosylhomocysteinase 2	AHCYL1	25.36653	25.53026	25.12731	25.62815	25.93402	25.22247	-0.253513336	0.462209989
A0A024R0E2;O75534;Q9GZV0;A0A024R0K2;Q96L66;E9PLT0;Q9UG93;Q8WU01;E9PNG3;Q9UG12;E9PLD4;E9PJK7	A0A024R0E2;O75534;Q9GZV0;A0A024R0K2;Q96L66;E9PLT0	Cold shock domain-containing protein E1	CSDE1;UNR	28.31445	28.2978	28.22034	28.28388	28.4462	28.43114	-0.109539032	0.858017858
A0A024R0F1;Q9UNY4;X6RI15;Q59EG6	A0A024R0F1;Q9UNY4	Transcription termination factor 2	TTF2	26.50886	26.52177	26.45637	26.39759	26.68966	26.39545	0.001431147	0.004698843
A0A024R0F6;Q9UPN9;H0Y612;B3KN30;B4DXI9	A0A024R0F6;Q9UPN9;H0Y612;B3KN30	E3 ubiquitin-protein ligase TRIM33	TRIM33	30.28284	29.96582	30.16207	30.0457	29.86409	30.19272	0.102735519	0.317374785
A0A024R0G5;Q96SK3;Q59G67;K7EN48	A0A024R0G5;Q96SK3;Q59G67	Zinc finger protein 607	ZNF607	22.73606	22.78513	22.846	21.8956	23.07979	22.4841	0.302562714	0.368619429
A0A024R0H7;Q9BQA1;H0Y711;B4DJP0	A0A024R0H7;Q9BQA1;H0Y711	Methylosome protein 50	WDR77	24.022	24.54669	24.17097	23.11159	24.49966	24.38047	0.249311447	0.204502739
A0A024R0L2;Q96F63	A0A024R0L2;Q96F63	Coiled-coil domain-containing protein 97	MGC20255;CCDC97	23.79986	24.27533	23.79887	22.17197	24.07079	24.48959	0.380569458	0.20072969
A0A024R0L6;Q15102;M0R1K3;M0R389;M0QZT2;M0QXS6;M0R323	A0A024R0L6;Q15102;M0R1K3;M0R389	Platelet-activating factor acetylhydrolase IB subunit gamma	PAFAH1B3	26.26662	26.47681	26.29957	26.14299	26.51818	26.33441	0.015804927	0.042598636
A0A024R0Q6;P07992;K7ES46;K7ER89;K7EP14;K7EJW9;K7ER60;K7EK97	A0A024R0Q6;P07992;K7ES46;K7ER89;K7EP14	DNA excision repair protein ERCC-1	ERCC1	23.89291	23.99602	23.93742	23.89523	24.40763	24.41222	-0.296241124	0.784764375
A0A024R0R1;M0QZR4;Q92888;M0QYC1;Q49AN3;M0R2C7;M0QYS3;M0QZH8;Q8NF33;M0R3H5	A0A024R0R1;M0QZR4;Q92888;M0QYC1	Rho guanine nucleotide exchange factor 1	ARHGEF1	22.81331	23.67206	23.51171	23.22523	23.84125	23.72536	-0.264916738	0.337289509
A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;B4DY66;M0QX65;M0R054;M0R375;M0QYM8;M0R286;M0QYP2	A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;B4DY66;M0QX65	"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"	SAE1	28.77536	28.79157	28.84122	28.62408	28.59793	28.53745	0.216228485	2.581064016
A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61;M0R3C7;M0QXP5;M0R180;O75402;M0R1C2;M0R033;M0R039	A0A024R0R6;Q92797;B7Z6F7;A0A087WUE9;Q4LE61	Symplekin	SYMPK;SYMPK variant protein	31.50975	31.42857	31.51831	31.44347	31.3143	31.37948	0.106463114	1.06479283
A0A024R0R9;P54920;M0R0Y2;M0R2M1;M0R058;M0R213;A0A024R0V6;M0R0I4;M0R027;B4DGP9;B4DIV0;A0A087WZQ7;Q9H115;M0QZM9;M0QZN5;M0R031	A0A024R0R9;P54920;M0R0Y2;M0R2M1	Alpha-soluble NSF attachment protein	NAPA	28.23114	28.42874	28.22426	28.02913	28.22113	28.10884	0.175016403	0.939106691
A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2;M0QYS5;M0R0D2;M0R1U8;M0QZ96;V9VB20;M4WFF9;L7QJP1	A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2	DNA repair protein XRCC1	XRCC1	28.94606	28.68522	28.90701	28.68903	28.63253	28.87763	0.113039653	0.441296744
A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4;F8VUB0;B4DF50;F8VZ70;H0YHV1;F8VW95;C9JYI7	A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SMARCD1	29.49572	29.34898	29.37258	29.36936	29.22823	29.4678	0.050629298	0.240192425
A0A024R106;Q8TBF4;Q05DR1;G3V1V1;F8VXY6	A0A024R106;Q8TBF4;Q05DR1;G3V1V1;F8VXY6	Zinc finger CCHC-type and RNA-binding motif-containing protein 1	ZCRB1	24.30612	24.30709	24.24786	24.27625	24.27234	23.97421	0.112754822	0.480553897
A0A024R120;Q12800;F8VX55;F8VWL0	A0A024R120;Q12800;F8VX55;F8VWL0	Alpha-globin transcription factor CP2	TFCP2	27.4004	27.36394	27.42614	27.4377	27.4086	27.41046	-0.022090912	0.470200481
A0A024R158;O95347;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72;B3KM27;Q6IPS5;A0JLM9;Q32Q15;A0A0C4DGE5;Q7Z2X1;Q6P712;Q5T821;Q13497	A0A024R158;O95347;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72	Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 2	SMC2L1;SMC2	30.25214	30.19976	30.3198	30.39611	30.3571	30.37078	-0.117427826	1.487083785
A0A024R163;O95758;X6R242;B1ALY4	A0A024R163;O95758	Polypyrimidine tract-binding protein 3	ROD1;PTBP3	28.81861	28.7242	28.70065	28.57906	28.68555	28.62031	0.119506836	1.181846218
A0A024R169;Q9NXF1;B4DQR0;B7Z9D5;A0A0A0MSR3;B4E149	A0A024R169;Q9NXF1;B4DQR0;B7Z9D5	Testis-expressed sequence 10 protein	TEX10	30.74791	30.83891	30.82305	30.87438	30.91049	30.83349	-0.069498062	0.905621218
A0A024R172;Q14914;F2Z3J9;Q5JVP2;F6XGT7	A0A024R172;Q14914	Prostaglandin reductase 1	LTB4DH;PTGR1	26.95593	27.06795	26.77957	26.33018	26.69843	26.80698	0.322619756	0.901625456
A0A024R179;Q09161;X6R941;F2Z2T1	A0A024R179;Q09161	Nuclear cap-binding protein subunit 1	NCBP1	31.3714	31.34393	31.33266	31.28697	31.20046	31.16997	0.130193075	1.61562145
A0A024R1A3;P22314;B4DDE4;B4DL67;Q5JRR6;B3KUJ2;Q5JRR9;Q5JRS0;Q5JRS2;Q5JRS1;Q5JRS3;Q712V1;Q8WY81	A0A024R1A3;P22314;B4DDE4;B4DL67	Ubiquitin-like modifier-activating enzyme 1	UBE1;UBA1	30.79273	30.72192	30.63781	30.70775	30.8097	30.77298	-0.045990626	0.355798091
A0A024R1C1;Q13356;A8K0I0;B4DRD4;F8WC56;Q9BZH8;C9JDF0	A0A024R1C1;Q13356;A8K0I0;B4DRD4	Peptidyl-prolyl cis-trans isomerase-like 2	PPIL2	29.2017	29.17909	29.14846	29.07276	29.05959	29.11364	0.094422658	1.867243721
A0A024R1C5;Q8IWD4;B7Z820;F8WBN8;B0QYH3;B0QYH1	A0A024R1C5;Q8IWD4	Coiled-coil domain-containing protein 117	FLJ33814;CCDC117	23.30994	23.98737	24.11227	23.82852	23.89162	24.07243	-0.127658844	0.187864594
A0A024R1D6;Q13769;F8WCP5;C9JXG5;H7C441;H7C072;F5GZF3;C9JCL9;C9JXU6	A0A024R1D6;Q13769;F8WCP5	THO complex subunit 5 homolog	hCG_2011153;THOC5	28.83044	28.68013	28.75152	28.68562	28.62694	28.71214	0.079132716	0.721384483
A0A024R1E5;Q9Y6J0;A0A087WWW8;Q8WTX5;B5MEB3;Q9NPU0;Q8IVX9;Q05C66;C9JT60;C9J068	A0A024R1E5;Q9Y6J0;A0A087WWW8	Calcineurin-binding protein cabin-1	CABIN1	27.20228	27.0202	27.26168	27.09285	26.96598	27.09245	0.110958735	0.58981947
A0A024R1F9;Q9H1I8;A0A024R1E1;Q53H58;Q53G98;B1AH59;Q659F6;H7C3Y4	A0A024R1F9;Q9H1I8;A0A024R1E1;Q53H58;Q53G98	Activating signal cointegrator 1 complex subunit 2	ASCC2	23.12644	23.50531	23.73892	23.39767	23.80617	23.1221	0.014911016	0.018564023
A0A024R1H7;A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72	A0A024R1H7;A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72	"POZ-, AT hook-, and zinc finger-containing protein 1"	ZNF278;PATZ1	26.17444	25.96076	26.36973	25.78452	25.16046	25.50227	0.685890198	1.474812852
A0A024R1J9;A0A024R1J8;P35240;A0A024R1F6;B7Z4B6;A0A024R1D9;A0A024R1I0	A0A024R1J9;A0A024R1J8;P35240;A0A024R1F6;B7Z4B6;A0A024R1D9;A0A024R1I0	Merlin	NF2	25.42438	25.19907	25.27867	25.63373	26.09464	25.29172	-0.372659047	0.703052339
A0A024R1K0;Q9NRA8;B1AKL4;B4DR76;B0QYZ7;Q6PJR2;B1AKL5;B1AKL6	A0A024R1K0;Q9NRA8;B1AKL4;B4DR76	Eukaryotic translation initiation factor 4E transporter	EIF4ENIF1	24.68763	23.9104	24.84259	25.02263	25.05643	24.85928	-0.499240239	0.78105812
A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2;F8WEB6;A2IDB1	A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2	14-3-3 protein eta	YWHAH	28.43201	28.15427	28.15025	28.32328	28.3176	28.18947	-0.031276703	0.109861441
A0A024R1K8;Q15459;B4E091;H7C1L2;F8WB66;F8WC79	A0A024R1K8;Q15459;B4E091	Splicing factor 3A subunit 1	SF3A1	31.78741	31.90009	31.92959	31.72342	31.73077	31.63045	0.177485148	1.517703114
A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356;Q6IC76	A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356	X-ray repair cross-complementing protein 6	XRCC6	34.37056	34.47786	34.52782	34.33151	34.36463	34.49952	0.060188293	0.362845054
A0A024R1S8;Q14847;C9J9W2;A8K1D2;B4DIC4;B4DJI4;F6S2S5;Q9NPR7;J3KSN1;K7ESD6	A0A024R1S8;Q14847;C9J9W2;A8K1D2	LIM and SH3 domain protein 1	LASP1	28.85926	28.96903	28.88341	28.67401	28.6064	29.0592	0.124028524	0.356276953
A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4;K7ESG8;K7EIE7	A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4	ATP-citrate synthase	ACLY;ACLY variant protein	30.56338	30.58002	30.34403	30.64856	30.74351	30.54858	-0.151070277	0.731607596
A0A024R1U0;P46060;B4DY16;B4E0U0;H0Y4Q3;B0QYT5;B0QYT4;Q9BSK3;Q8WUS7;B0QYT6	A0A024R1U0;P46060;B4DY16;B4E0U0	Ran GTPase-activating protein 1	RANGAP1	30.85162	31.15352	30.92047	30.91006	31.05995	31.0829	-0.0424366	0.148798687
A0A024R1U2;Q7RTV0	A0A024R1U2;Q7RTV0	PHD finger-like domain-containing protein 5A	PHF5A	26.36726	26.81958	25.92698	26.22935	26.59078	26.08699	0.068902969	0.081673779
A0A024R1U4;P51148;K7ERI8;F8VVK3;K7ENY4;K7EIP6	A0A024R1U4;P51148;K7ERI8;F8VVK3;K7ENY4	Ras-related protein Rab-5C	RAB5C	25.24938	25.94673	25.63043	25.61029	25.63683	25.59449	-0.005023321	0.008176464
A0A024R1X0;O15234;B4DKR6;J3QSC4	A0A024R1X0;O15234;B4DKR6	Protein CASC3	CASC3	22.65086	24.52355	22.37404	23.93894	24.38903	24.0158	-0.931776047	0.605870983
A0A024R1X3;Q9BRG1;K7EKV4;K7ENE3;K7EP45	A0A024R1X3;Q9BRG1;K7EKV4;K7ENE3	Vacuolar protein-sorting-associated protein 25	VPS25	23.57773	24.06891	23.94646	23.87371	24.11823	23.31866	0.094170252	0.123469707
A0A024R1Z6;Q99536;B3KUF8;K7ERT7;K7ESA3;K7ENX2;K7EM19;K7EJM4;K7ER81	A0A024R1Z6;Q99536;B3KUF8	Synaptic vesicle membrane protein VAT-1 homolog	VAT1	24.47488	25.03158	24.4204	24.98002	25.48794	25.15812	-0.566403707	1.084636768
A0A024R201;Q9UNM6;Q53GN6;B2RBM7;B4DJ66;Q9Y6E3;J3KNQ3;A0A087WUL9;E9PL38;H0YD73;Q9UNM7;E9PQG3;E9PPD2;Q5HYL3;F8W8J6	A0A024R201;Q9UNM6;Q53GN6;B2RBM7;B4DJ66;Q9Y6E3;J3KNQ3;A0A087WUL9;E9PL38;H0YD73	26S proteasome non-ATPase regulatory subunit 13	PSMD13	27.81702	28.37132	27.89076	28.05103	28.44289	27.91547	-0.110097885	0.177986038
A0A024R216;Q9Y3E1;H3BPQ6;H3BPM9	A0A024R216;Q9Y3E1	Hepatoma-derived growth factor-related protein 3	HDGFRP3	27.2479	26.67909	26.92105	27.05579	26.9536	27.00806	-0.056475321	0.123294688
A0A024R222;B4DHQ3;Q9Y617;A0A024R280;B4DHX7;A9LS35	A0A024R222;B4DHQ3;Q9Y617;A0A024R280	Phosphoserine aminotransferase	PSAT1	28.27547	28.01882	27.92654	28.46914	28.61362	28.21081	-0.357577006	1.067676574
A0A024R233;A0A024R225;B7Z2R3;U3KQJ2;B1AN86	A0A024R233;A0A024R225;B7Z2R3		TJP2	30.60505	30.66433	30.60788	30.73796	30.70207	30.90985	-0.157536825	1.106247358
A0A024R273;A8K4G2;A0A024R244;P43405;C3W981;C3W980;Q13196;B0YIV3;Q8NFD2	A0A024R273;A8K4G2;A0A024R244;P43405	Tyrosine-protein kinase;Tyrosine-protein kinase SYK	SYK	26.28313	26.26665	26.23612	25.87589	26.06673	26.23422	0.20301946	0.90733012
A0A024R277;O15269;Q6NUL7;Q59EQ4;B4DR90	A0A024R277;O15269;Q6NUL7;Q59EQ4	Serine palmitoyltransferase 1	SPTLC1	24.52868	24.88488	24.49662	24.73892	25.05358	24.78072	-0.221013387	0.626415544
A0A024R294;Q96BD8;K7EPW0;K7EP61	A0A024R294;Q96BD8	Spindle and kinetochore-associated protein 1	C18orf24;SKA1	25.22347	24.85766	24.93184	25.23191	25.27888	25.49072	-0.329516093	1.130159122
A0A024R2C5;O75351;A8K5D8;A8K4G7	A0A024R2C5;O75351;A8K5D8;A8K4G7	Vacuolar protein sorting-associated protein 4B	VPS4B	27.83966	27.66635	27.65601	27.78694	27.80882	27.82711	-0.086950938	0.647390524
A0A024R2F9;Q9BTV4;A0A0S2Z5N2;V9GY05	A0A024R2F9;Q9BTV4;A0A0S2Z5N2	Transmembrane protein 43	TMEM43	23.99395	25.35968	24.17638	24.31112	24.51683	24.34753	0.118174871	0.09782611
A0A024R2G2;Q9BXW9;H7BZJ7;F8WE37	A0A024R2G2;Q9BXW9	Fanconi anemia group D2 protein	FANCD2	29.13396	28.81696	28.91436	28.91969	28.80181	29.11887	0.008305868	0.021022743
A0A024R2G8;O15084;B4DIW9;B4DS25;H7C4A0;B7Z6Z7;Q53T07;H7C209;Q8N8A2	A0A024R2G8;O15084;B4DIW9	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28	24.23965	24.12731	24.09338	24.71015	24.66308	24.4979	-0.47026062	2.417048943
A0A024R2H7;Q96Q11;C9JRS7;F8W8C3	A0A024R2H7;Q96Q11	"CCA tRNA nucleotidyltransferase 1, mitochondrial"	TRNT1	25.88844	25.96776	25.65848	26.13081	25.72936	25.26008	0.131477356	0.187351638
A0A024R2I7;Q9NS91;Q53H10;F8WE49;H7C3I2;H7C0A5	A0A024R2I7;Q9NS91;Q53H10	E3 ubiquitin-protein ligase RAD18	RAD18	26.61526	26.47593	26.8441	26.66546	26.46036	26.86809	-0.019539515	0.041777794
A0A024R2K1;P20339;A0A0A1HAN9;F8VVZ0;F8VWU4;F8WCY6;F8WD79;F8VPW9;F8VSF8;F8VWZ7	A0A024R2K1;P20339;A0A0A1HAN9	Ras-related protein Rab-5A	RAB5A	27.21568	27.03171	27.21085	27.69192	27.68699	27.22352	-0.381400426	1.075489254
A0A024R2L1;Q8TAF3;F8W9K4;F8W7Q3;C9JC24;F8W7Y5;F8W6P2	A0A024R2L1;Q8TAF3	WD repeat-containing protein 48	WDR48	25.58486	25.69737	25.5848	25.44326	25.65573	25.40857	0.119825363	0.628141761
A0A024R2M7;O95747;C9JIG9;F8WBK9	A0A024R2M7;O95747;C9JIG9	Serine/threonine-protein kinase OSR1	OXSR1	27.45419	26.99486	27.28392	27.30496	27.20088	27.29123	-0.021368027	0.053334664
A0A024R2M8;D2CPI8;D2CPJ1;D2CPJ3;D2CPJ0;D2CPI9;D2CPK0;D2CPK7;E7EUB5;D2CPJ5;D2CPK1;D2CPJ4;D2CPJ8;D2CPK4;D2CPJ2;D2CPK2;D2CPJ9	A0A024R2M8		XPC	28.9081	28.83828	28.95754	28.96052	28.93848	29.04458	-0.079888662	0.77777001
