Accession	Description	Naive 1	Naive 2	Naive 3	Naive 4	Naive 5	Naive 6	Naive 7	Naive+PRC2i 1	Naive+PRC2i 2	Naive+PRC2i 3	Naive+PRC2i 4	Naive+PRC2i 5	Primed 1	Primed 2	Primed 3	Primed 4	Primed 5	Primed+PRC2i 1	Primed+PRC2i 2	Primed+PRC2i 3	Primed+PRC2i 4	Primed+PRC2i 5	Primed+PRC2i 6
AP2A_HUMAN;AP2C_HUMAN	Transcription factor AP-2-alpha OS=Homo sapiens OX=9606 GN=TFAP2A PE=1 SV=1	1609.311328	2036.499948	1855.645036	1918.647709	1930.55577	1588.905069	1651.500727	1559.386477	1825.570284	822.6429346	1760.605466	1902.15537	149.565817	146.472342	192.8385677	38.21421453	127.8016714	142.3517897	158.6547561	149.5545194	167.0675668	102.1146293	183.477752
DNM3L_HUMAN	DNA (cytosine-5)-methyltransferase 3-like OS=Homo sapiens OX=9606 GN=DNMT3L PE=1 SV=3	641.3558579	1522.371262	1073.425477	845.1454524	505.6129827	1536.81872	1802.864163	403.5218936	492.9506626	1030.715923	575.0433162	971.7433668	24.76149827	81.79150712	14.36941134	19.45999994	40.28000354	20.10452453	12.90327109	14.01214096	16.04526041	10.80275745	40.83330106
LMNA_HUMAN	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	6139.021889	7693.155545	7056.009254	6283.754452	5533.396551	6798.754011	7573.79308	4705.107674	5702.076605	7111.291367	6252.944517	6908.752726	2119.309974	2212.889323	1690.059605	2830.175618	2214.28175	2100.742872	3031.737906	2063.588943	2150.421607	2097.336661	2467.272756
SOX15_HUMAN	Protein SOX-15 OS=Homo sapiens OX=9606 GN=SOX15 PE=1 SV=1	1387.817601	1425.220604	1221.074371	1214.298047	1531.906803	1362.478249	1495.309263	607.8777907	1322.659418	786.1318267	518.7828224	1088.61698	95.47753624	233.9194012	64.96747124	144.5961487	109.7763968	25.28754352	34.71955367	28.21234214	99.66549611	50.09863974	87.6513021
MTDC_HUMAN	"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2"	790.5523118	1386.704836	1714.685018	1102.006403	809.4981576	1557.40569	1339.592054	494.0148884	948.1509185	851.2344315	810.1977148	917.8466124	176.6888845	59.77050738	28.75115476	30.94268364	51.32200322	24.65388937	21.91091549	37.84207907	7.556049343	16.14141297	61.3702318
PRDX1_HUMAN	Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1	3621.141153	4970.25407	5273.202753	3507.116261	4330.493242	7003.214104	3819.324152	2839.606505	4852.86316	3654.692213	5022.66707	4185.898985	1667.845088	1294.225731	1298.64335	1243.981966	1392.954852	780.3973626	867.3375201	1000.701578	931.0348483	1003.801776	1464.055706
CHP1_HUMAN	Calcineurin B homologous protein 1 OS=Homo sapiens OX=9606 GN=CHP1 PE=1 SV=3	987.0989203	1489.544707	1347.73895	1631.044488	1404.204098	1714.147482	1437.596064	897.0828954	942.5923205	1231.744918	973.1020499	1320.185985	441.3262768	572.6256301	435.9336822	538.2171754	479.4995573	529.5607935	484.6356243	491.8672736	474.908714	412.3372806	606.2596258
ODPB_HUMAN	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3"	2251.222916	5347.118394	3899.203091	3053.365023	3041.924846	3471.580872	3704.826651	2444.81393	3366.909184	3364.034892	2083.576892	3087.482336	1005.532852	685.9895398	469.2020566	664.8322308	538.5063303	380.2101783	466.5053559	631.7495756	469.6345159	657.3092243	875.7246383
ANXA1_HUMAN	Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2	176.248111	112.8554013	31.50349068	44.41150651	65.24917147	140.545383	72.82776045	296.8588274	62.87682651	182.6823576	42.68168073	91.1425566	0	0	0	0.071253042	0	1.636784215	7.261681517	0	3.242531082	2.603408894	0
PNPT1_HUMAN	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PNPT1 PE=1 SV=2"	243.7868181	901.0302123	782.3602355	574.6003244	381.3865964	441.745537	593.2037465	259.7184535	470.5350777	371.6811191	639.6781884	431.6311326	58.92104363	14.19625126	11.60128382	23.13718154	25.83400356	9.111141801	17.03456464	12.5922674	13.56896793	23.74265375	53.09607234
ACON_HUMAN	"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2"	937.7025844	2524.315409	2870.036732	1507.244283	1149.906608	1959.193785	2010.237829	930.1084204	1573.622338	1304.390452	1665.179522	1336.237841	266.6610871	177.0406607	95.1822742	314.5625214	230.4953172	123.8893577	154.2998508	212.1299741	150.7457878	195.7165271	224.8847468
PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	3700.993402	3972.406257	3849.543163	2902.553885	3297.894123	3873.748162	3090.951203	2787.315706	3371.908425	4408.721145	2641.224363	4114.970729	1259.537017	1222.479551	1095.760974	1250.739566	1017.500785	1393.216882	1373.620491	1319.844867	1167.252056	831.3055086	1530.625189
S39A6_HUMAN	Zinc transporter ZIP6 OS=Homo sapiens OX=9606 GN=SLC39A6 PE=1 SV=3	0	0	0	0	0	0	0	0	0	0	13.01399608	0	78.99782028	58.26673315	37.92233368	33.7267084	66.83902791	63.14926099	36.18672017	81.29873532	24.14139323	64.8378816	65.51476343
HMGN1_HUMAN	Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=3	6377.099473	8165.014983	6486.088425	9533.884843	3911.096586	5608.213707	8025.262564	2717.273871	3791.048701	4779.748731	2089.180955	3440.25066	23281.7854	31040.48232	24203.50129	39767.4654	33401.98588	35068.81896	23828.66301	22329.48854	13699.23684	30784.36159	26937.58949
QCR7_HUMAN	Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2	6004.568301	6663.970194	6125.129764	7167.650185	6667.765427	9346.300071	6224.742061	5332.095832	7296.348895	5816.145858	7237.667127	6522.592353	2314.886907	3290.983786	2665.920385	2769.911329	3133.419567	2418.961458	3241.679293	3353.972205	3168.356037	3015.658681	2975.715789
TCF20_HUMAN	Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3	0	0	0	0	4.377724548	5.619914656	0	0	0	0	0	0	116.6209225	76.38779149	20.92769767	136.582591	93.20372867	70.0040876	53.11223757	36.62421646	25.5217465	73.15594382	37.3691112
LN28B_HUMAN	Protein lin-28 homolog B OS=Homo sapiens OX=9606 GN=LIN28B PE=1 SV=1	2598.991267	2602.569388	3978.939225	2297.396093	3615.417268	1711.439477	2805.775574	2663.72203	2344.959052	6118.625343	2570.365518	3090.325401	356.1924059	820.9646843	292.8276109	730.8248577	477.7042883	198.1648938	171.4867959	192.0260256	202.6929002	455.7197919	381.67544
EPIPL_HUMAN	Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	155.8982648	157.8552115	394.2927538	98.73166362	138.7940987	230.4029696	146.4467697	126.4013159	285.0047729	134.1159564	267.0839363	494.2071238	5.414478186	0	0	3.209163645	0	0	0	2.272281501	2.804845741	0	6.713067633
GARS_HUMAN	Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3	1104.389453	1772.251118	1779.749566	1129.592528	967.0614342	1089.838626	1230.777316	1028.7147	1445.404604	1357.899262	811.1083182	1382.947256	512.7225025	289.7938226	258.6966184	481.8516438	488.6484373	205.371629	192.3204708	243.0577913	175.9650404	272.419614	338.064756
RT23_HUMAN	"28S ribosomal protein S23, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS23 PE=1 SV=2"	316.604189	570.2014817	513.5029961	635.9263761	405.7352769	650.4484556	502.5602177	212.0381353	444.0981576	243.2028211	382.9334459	307.9878284	103.153491	101.5814804	76.37627162	98.65259218	140.8970323	115.8075118	84.37739071	110.8691757	71.30026015	77.35613923	157.1533388
KHDCL_HUMAN	Putative KHDC1-like protein OS=Homo sapiens OX=9606 GN=KHDC1L PE=5 SV=1	2212.740722	1710.883469	1662.217715	1560.472603	1576.382493	1392.804731	1499.941151	1334.765696	1432.907973	1268.293365	1054.588202	1469.226548	246.3462339	381.6642055	494.5319233	346.078198	402.3460714	751.5951412	881.6826625	648.5636226	545.9480546	395.6983912	372.338159
GRP75_HUMAN	"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2"	16251.78228	33954.27366	30307.82941	22430.34461	19080.83521	25982.33824	25720.59465	17738.2459	26487.3712	26994.95882	20876.18581	21464.02888	8898.598913	6538.807994	3999.668474	9162.695467	6454.750931	4355.731646	5827.08037	6817.962982	4108.540326	6596.979146	7811.551824
ADT2_HUMAN;ADT1_HUMAN	ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	1572.173407	2886.148861	1866.146603	2091.341587	2254.656485	2432.359479	2276.063198	2026.729808	2039.841064	1949.472635	2558.035037	1836.360548	1146.965828	601.3267858	537.0697791	537.7665794	778.5155991	619.5329606	731.9103911	955.0997028	759.5134247	625.0560768	921.6926362
ODP2_HUMAN	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3"	1036.59204	2107.073151	1571.581415	1128.851374	1445.019133	1211.676782	1244.88803	1051.234982	978.6450476	1279.269796	683.5385956	1150.314661	347.7680981	239.2583876	152.6033791	333.161941	222.0331944	92.93279703	86.50869192	240.92668	76.64809568	218.7034742	294.2489904
OAT_HUMAN	"Ornithine aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OAT PE=1 SV=1"	438.4758724	1828.69513	1435.457644	1128.499415	750.5924978	1360.872778	1369.49196	382.4853254	592.4064188	354.3296228	640.669153	565.5646699	148.7578833	55.09300368	30.83794044	27.1398783	18.52507495	67.14281326	35.21522502	115.49269	32.16626373	82.03491232	118.2858679
ZIC5_HUMAN;ZIC1_HUMAN;ZIC2_HUMAN	Zinc finger protein ZIC 5 OS=Homo sapiens OX=9606 GN=ZIC5 PE=1 SV=2	93.48083256	119.7395017	149.7830061	207.4985881	204.8434358	292.492925	215.9239993	121.0454888	125.3650448	195.2215728	132.0892282	174.186614	1069.464849	756.2845408	524.2434282	621.5041289	621.348039	545.8250628	475.9037166	585.1860063	485.8582084	571.0583027	594.9767823
RM16_HUMAN	"39S ribosomal protein L16, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL16 PE=1 SV=1"	998.2314663	2544.581422	1907.940005	1463.146621	1612.962556	1550.845789	1757.573076	1046.047216	1543.758434	1838.552498	2317.691355	1660.603569	729.0067669	620.7976492	561.1654321	730.2608961	727.7877183	415.2736213	435.3593037	501.8959198	418.9135335	491.3283386	630.6322415
NSA2_HUMAN	Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1	786.9034691	1031.448486	962.3475485	723.2174282	640.6064993	680.8029741	827.9046144	650.8998646	716.7840467	953.5398683	550.197882	792.7725284	437.4576975	244.3494531	209.4540355	240.0841743	353.7553404	226.5610427	240.3551765	320.3241302	234.7415749	266.6432768	334.1982093
CEBPB_HUMAN	CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2	1211.942441	932.9516836	675.9578885	733.2977473	707.874813	796.2539342	763.7355614	941.2701031	977.4680026	829.1306679	740.2644798	1068.108986	214.9825831	206.2187534	248.9916875	62.1162551	296.3450303	207.6226641	183.212963	174.8112922	194.1131288	142.1654938	214.04817
CLPX_HUMAN	"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2"	647.0172767	2311.306704	1320.438375	1407.105382	1489.974968	2364.175538	1850.931386	724.6603042	1071.274805	1037.623093	327.6833528	1013.257866	305.7384217	117.4375376	69.95732882	102.7456936	168.5665589	93.64699249	70.74330745	145.4048531	59.72940491	152.8249305	192.069918
RM19_HUMAN	"39S ribosomal protein L19, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL19 PE=1 SV=2"	384.6630795	866.6850742	564.4080194	582.6293338	614.5521878	636.7166453	574.1296813	394.0880647	529.5704282	687.3075998	701.9559653	472.9559016	324.9875069	237.2479193	183.4160814	237.7189408	251.4032687	229.4064063	187.4185139	159.9190759	192.9928978	203.4484641	217.2990429
KRR1_HUMAN	KRR1 small subunit processome component homolog OS=Homo sapiens OX=9606 GN=KRR1 PE=1 SV=4	732.4814173	1030.106793	730.2076499	902.0303042	1175.341483	1091.715339	795.3862393	611.8507572	713.5908162	689.7390845	660.0682056	579.3225068	424.2445161	590.9297465	509.5181871	492.4898118	431.8888424	378.673807	443.218866	322.6413177	425.4729065	396.9926097	350.2317202
RT05_HUMAN	"28S ribosomal protein S5, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS5 PE=1 SV=2"	358.3925645	651.3492642	677.2505252	479.4871397	391.6816995	712.4302842	502.0630877	266.2248422	513.299736	481.3952467	267.9399531	352.5636059	138.1628304	90.38072165	45.31432726	139.2215188	125.4082258	72.30370435	65.56746321	118.5296933	60.85642379	96.9347904	130.1484267
ODO2_HUMAN	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLST PE=1 SV=4"	1119.34941	2031.231464	2026.360388	1769.848079	1655.174344	1834.645874	1657.673999	1141.283071	1561.653136	1649.173372	1918.913388	1505.535667	621.1129984	726.3970552	477.7508294	713.4752716	504.9768374	533.8057849	653.1220007	799.5436077	494.7161433	707.9240747	876.4802784
NDUS5_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Homo sapiens OX=9606 GN=NDUFS5 PE=1 SV=3	1292.646788	1757.802551	1304.891887	1774.447283	1508.33062	2059.818525	1536.199032	1361.18782	1769.68225	1085.925514	1434.314331	1420.694417	709.1896655	787.9403174	754.5619155	527.4713566	714.0938993	797.3771091	739.1986857	941.4198617	819.1356014	826.0415875	836.0129014
IF2B1_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2	1849.056217	2596.814314	2717.538446	1524.577926	2238.013875	2378.286564	2387.440322	1917.824006	2356.202259	2968.611489	1158.647475	2730.115738	8890.602023	8193.732453	6810.379298	10056.48417	6465.648136	6428.762755	7773.636507	4427.102888	4610.220952	6808.392397	6852.688362
LONM_HUMAN	"Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2"	695.0165429	743.9030633	904.7694222	584.881557	722.7141078	485.4150727	692.1628911	569.8653665	590.4558261	688.5381649	636.7117462	528.0152251	270.5647823	193.4634874	79.57939692	226.9050723	131.5721174	108.7316721	92.83422223	230.7416027	168.181582	141.7238132	190.9863501
EFTU_HUMAN	"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2"	2663.277914	7179.377333	6912.289274	5851.154521	3693.695814	6722.680525	5860.814998	2799.774379	4351.052369	3923.847689	5183.676518	3793.428799	1314.62035	948.174968	525.2264036	1469.326303	967.3577683	888.6255143	593.778824	1138.677106	486.3038231	992.953165	1352.728599
RMXL1_HUMAN	"RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1"	126.7467706	93.89113169	131.3145821	102.0985877	144.3848285	85.40116324	102.3254734	103.7517775	124.9720521	126.7211472	112.7514955	80.27787278	52.42532951	45.36060545	38.32439872	63.03268079	53.84405292	35.1989717	31.3882097	40.3065391	54.61176062	33.70769429	51.02383147
PSIP1_HUMAN	PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1	12052.15406	15440.52358	11666.29705	9207.973523	14083.89423	8072.988246	13291.72898	8969.179597	9323.855528	15263.75712	6575.929058	9203.882048	34164.31205	29527.11073	28182.2177	38976.89218	26102.10989	25260.77705	19829.33602	25091.35542	26131.64815	24568.32801	26789.27481
TCEA1_HUMAN	Transcription elongation factor A protein 1 OS=Homo sapiens OX=9606 GN=TCEA1 PE=1 SV=2	1058.899259	1147.181297	906.6698916	1025.371178	985.935981	1483.729001	1102.426516	649.0852	1178.656431	1521.076017	438.7674859	965.5429109	327.5274376	268.6932266	247.0412573	374.4379598	389.6991965	272.5120906	206.8848439	238.1321217	188.3479874	336.8700074	315.4793997
RS27A_HUMAN;RL40_HUMAN	Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2	43149.42757	82475.34295	47254.32817	48229.1543	44050.21041	51211.87842	61258.53669	57551.48467	54258.60669	61270.69367	49776.84967	54596.0813	32078.89073	21768.02787	21124.92115	16251.03927	18314.48978	18567.04889	24537.64112	23783.53784	25315.45149	27510.96683	27718.27011
RM15_HUMAN	"39S ribosomal protein L15, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL15 PE=1 SV=1"	248.8067011	564.7147345	516.2970056	431.6167366	407.7401845	723.9472393	532.0344157	209.8938886	444.2766581	324.0030543	385.221985	340.644564	150.1521939	118.3673028	44.96540294	109.61049	107.7574132	62.201154	59.93676905	97.58157074	90.27770635	104.2325252	121.0577131
CDCA5_HUMAN	Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1	201.0877769	155.4671636	150.5272532	91.01950456	83.03105537	142.6428434	138.9951246	113.706111	136.1143217	193.9710721	178.211817	89.35649456	389.6343292	375.1728746	320.2425139	530.4767564	487.3518105	480.8151311	530.2036112	405.6737825	376.6720683	358.0688894	370.6313158
RM11_HUMAN	"39S ribosomal protein L11, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL11 PE=1 SV=1"	753.2177166	1240.681693	1351.399934	1350.26636	1067.491581	1426.751005	1198.930135	725.8246661	1133.740009	561.509288	856.7110287	1028.434768	532.0938518	557.0926162	514.668776	440.7871878	464.8500287	315.5735142	401.9849134	433.6159403	319.9519959	506.2607976	410.8523403
HSPB1_HUMAN	Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2	590.3466527	900.4247471	478.890574	562.0678205	892.5794089	1327.514945	769.3133828	633.7979479	645.3560337	527.3559447	529.5542901	593.1268097	69.29135124	161.611311	128.565866	41.02346218	34.37117152	100.4229368	97.8048811	215.6158314	222.574216	219.1213518	251.6998221
NOP56_HUMAN	Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4	4273.133757	3190.494637	3568.457559	3162.429016	3622.946051	3552.622472	3539.85399	2369.652688	3073.241511	6387.811191	3444.625334	4049.178871	1655.077192	1687.182766	1057.259649	2184.807644	1536.658176	1431.428929	1312.143469	1290.669349	1082.540477	1241.640277	1344.125012
RM17_HUMAN	"39S ribosomal protein L17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL17 PE=1 SV=1"	161.3265991	206.1301721	223.7436661	331.9751621	221.9856774	389.6286454	234.919242	98.75599209	234.5515734	97.5472415	208.1119961	148.1058835	52.00080125	83.03435495	66.81318735	31.63807172	62.88714176	45.22362954	39.62557853	52.85273941	69.90971087	59.84945588	53.94246887
TCOF_HUMAN	Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	2968.028215	3302.431878	3040.571665	3201.219334	3755.564364	3980.727672	2889.005973	2258.073911	2366.633094	3347.628701	2932.942666	2388.795234	1334.323608	1522.17884	1778.19014	2410.411737	1842.541249	1644.838338	1443.608212	1611.614933	1402.472763	1605.188775	1663.154771
TIM44_HUMAN	Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2	1239.286713	1976.876144	1509.297552	1398.627892	1162.157472	1376.09021	1485.241456	1080.515602	1418.284884	1444.797453	708.7016319	1593.670103	420.0815757	392.8261085	273.4702659	813.2247225	606.1623977	205.5402981	166.6951192	355.0446112	122.6421241	374.765519	344.9450015
GCSP_HUMAN	"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Homo sapiens OX=9606 GN=GLDC PE=1 SV=2"	303.4847635	707.4701059	996.2149557	567.07468	407.7362204	571.439764	485.5799059	280.1044868	473.7371218	332.4980459	507.2935382	445.5555729	119.3620755	105.872752	96.67949526	122.0715552	43.93475477	86.8865479	79.1770238	150.5240401	96.55188272	81.35659248	220.6398124
TIM8B_HUMAN	Mitochondrial import inner membrane translocase subunit Tim8 B OS=Homo sapiens OX=9606 GN=TIMM8B PE=1 SV=1	1792.276936	2966.692297	2196.818672	1499.576331	1320.042427	2517.63169	2191.029888	1374.987102	2104.943726	2228.504292	1403.924669	1910.004767	723.751103	589.2835253	329.77952	1012.679472	944.3519061	603.0651502	450.7342057	608.0019111	438.3364949	561.827802	490.8651839
HCD2_HUMAN	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3	161.9013024	1023.390916	538.3497359	529.56096	402.3142264	1156.510675	652.5435778	193.0964554	420.3532289	322.8906491	688.5733205	337.3151121	148.6092761	49.82326584	22.02881582	79.08055795	30.16845971	32.50208537	20.3028329	49.51705206	29.51562327	44.15006744	60.23833426
NOP58_HUMAN	Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1	642.028972	928.7491327	854.0594847	1291.272583	1336.653451	1413.227652	1154.152953	462.9628662	638.6284047	1083.430034	925.086119	766.6952112	374.3898376	248.8046308	189.564794	383.6005378	327.720547	254.4113785	177.5381076	282.65664	196.2513654	242.9393462	421.2139354
RCC1_HUMAN	Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1	2219.735275	2755.254061	2355.971117	1979.592204	2018.185784	1729.981423	2466.359606	1797.45437	2084.574891	2496.87267	1934.744325	2432.071666	900.3806757	796.4991666	523.0909225	1307.191483	849.0931591	626.9452157	862.2331109	848.588266	485.4845819	798.5404016	1242.258007
NHRF1_HUMAN	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4	59.40230132	30.1538087	34.48457474	78.52923736	46.61782136	135.8040673	27.12340368	44.85027574	29.67335226	12.89942969	49.39767886	36.39477879	508.0045287	542.1078644	229.915748	471.4908192	323.6078742	116.2489048	123.2931035	259.2069846	160.7216174	314.3046411	239.9059821
