Accession	naive_primed	primed_primed2i	naive_naive2i
ABHD12	0.000481463	0.451526323	0.020981952
ABHD12B	0	0.007669621	0.190968627
ABHD13	0.001817386	0.743452878	0.695329341
ABHD14A	0.174065931	0.038066299	0.422090856
ABHD14B	0.001776728	0.767557441	0.845459866
ABHD15	5.27E-31	0.069496532	0.270135883
ABHD17A	1.37E-06	0.643285347	0.05750628
ABHD17AP1	0.115391591	0.141781497	0.052575589
ABHD17B	0.61520201	0.53688391	0.850303273
ABHD17C	2.83E-16	0.914943582	0.000148379
ABHD18	0.23226377	0.070647985	0.50828008
ABHD2	5.96E-19	0.053586321	0.164883941
ABHD3	1.21E-19	0.629730762	0.83329251
ABHD4	3.21E-13	0.879267958	0.56945663
ABHD5	1.11E-13	0.704684186	0.835130662
ABHD6	6.48E-17	0.684644356	0.815302714
ABHD8	1.04E-17	0.870184587	0.625185138
ABI1	0.009183829	0.524668087	0.012170037
ABI2	9.39E-100	0.110339541	0.254791999
ABI3	1.30E-05	0.356383453	0.184046337
ABI3BP	0.650305528	0.725635407	0.387097436
ABITRAM	7.50E-05	0.63288516	0.463944293
ABL1	0.274261199	0.778121532	0.864231374
ABL2	0.160823066	0.577126842	0.17957984
ABLIM1	3.16E-23	0.358704734	4.44E-05
ABLIM2	0.22107649	0.920125304	0.384726941
ABLIM3	0.24291946	0.774917811	0.183766028
ABO	0.868473484	0.672818042	0.193486639
ABR	2.42E-55	0.650260329	0.266034925
ABRACL	1.66E-08	0.612345908	0.021544547
ABRAXAS1	0.000111333	0.691885959	0.00912954
ABRAXAS2	0.000926789	0.499966866	0.236050639
ABT1	8.87E-15	0.604286193	0.652182543
ABTB1	2.81E-10	0.121442972	0.161669496
ABTB2	0.000255604	0.00084167	0.001720489
AC000065.1	0.978200771	0.139585655	0.621659808
AC000068.1	0.800905064	0.322280697	0.928002081
AC000089.1	0.969977682	0.573101338	0.64217553
AC000093.1	0.159544117	0.859569821	0.886220398
AC000120.1	0.578889262	0.999549705	0.468917008
AC000123.1	0.598098103	0.936891988	0.488307358
AC000123.2	0.13107311	0.027483969	0.436468653
AC000123.3	0.713613992	0.63600667	0.714392709
AC001226.2	0.047804106	0.441793475	0.29498619
AC002070.1	0.958014902	0.059975221	0.690424314
AC002091.1	0.227780422	0.376796072	0.378065225
AC002091.2	0.941854952	0.133401949	0.409026737
AC002094.5	0.193702838	0.161525141	0.112225072
AC002116.2	0.025813512	0.745022228	0.646911294
AC002128.1	0.370949679	0.875639277	0.815351166
AC002128.2	0.139957787	0.523406937	0.677089577
AC002306.1	0.300579596	0.663936833	0.86479998
AC002310.1	2.61E-05	0.419150424	0.870461431
AC002310.5	0.464013008	0.505973549	0.285728465
AC002350.1	0.141161259	0.207055969	0.146049653
AC002351.1	0.690041671	0.580359858	0.66132977
AC002400.1	0.008372422	0.732752891	0.56727338
AC002463.1	1.13E-09	0.678058665	0.588073112
AC002467.1	0.052016956	0.235570505	0.89439895
AC002470.1	0.630672246	0.159794451	0.595926973
AC002480.1	1.64E-07	4.35E-05	0.559212521
AC002480.2	0.000392126	0.002774832	0.882353358
AC002519.1	0.009365053	0.271204562	0.413988525
AC002550.2	0.001759765	0.199231094	0.821543052
AC002553.1	0.002304455	0.002714438	0.908221683
AC002553.2	0.709021978	0.591477815	0.890805773
AC002558.3	0.120196986	0.758405343	0.809025274
AC003044.1	0.692357238	0.861673778	0.499939705
AC003071.1	0.938442758	0.934628928	0.968576949
AC003072.1	0.516180485	0.744104071	0.828946086
AC003077.1	0.725816079	0.9382759	0.182682362
AC003101.2	0.884130882	0.683198283	0.840359982
AC003102.1	0.928991813	0.819666886	0.777331112
AC003665.1	4.94E-17	0.99255625	0.028054498
AC003681.1	0.113390028	0.973165568	0.453537346
AC003956.1	0.325341171	0.994065554	0.529318756
AC003975.1	4.55E-09	0.642916742	0.939533391
AC004000.1	0.379790328	0.248741215	0.562690574
AC004024.1	0.907560005	0.613078715	0.837380404
AC004034.1	0.784499747	0.194378866	0.35586577
AC004067.1	0.751025878	0.420977746	0.89358371
AC004076.2	0.000260295	0.079704624	0.810061451
AC004086.1	0.093871623	0.618151186	0.159062698
AC004112.1	0.587221661	0.766260779	0.829785079
AC004147.2	4.96E-06	0.291849647	0.788878874
AC004148.2	0.00463575	0.057006483	0.247823305
AC004151.1	2.45E-13	0.21730181	0.339181189
AC004156.1	4.15E-10	0.687991471	0.311835015
AC004156.2	0.951398737	0.987396109	0.881669902
AC004158.1	0.72852593	0.416790619	0.349345276
AC004160.1	0.548818674	0.671238405	0.715789672
AC004223.1	0.869523295	0.839744839	0.807053046
AC004223.4	0.959925311	0.256786791	0.733297316
AC004224.1	0.90783257	0.301047721	0.723578983
AC004232.2	0.068512608	0.961411599	0.412968935
AC004233.1	0.849419974	0.544134937	0.965575526
AC004233.2	0.974422443	0.987486703	0.175736235
AC004233.3	0.26500416	0.438606925	0.6311903
AC004241.1	0.75370252	0.44090786	0.939858104
AC004241.3	0.814537165	0.601403514	0.945661303
AC004241.5	0.230484514	0.220982852	0.615828366
AC004253.1	0.005909288	0.240959565	0.635600921
AC004263.1	0.791749583	0.681218108	0.834355907
AC004263.2	0.003360137	0.629955568	0.162439679
AC004264.1	0.106112567	0.638511634	0.985476562
AC004386.1	0.838892235	0.91388886	0.705084284
AC004448.2	7.56E-05	0.419182287	0.106059437
AC004453.1	0.043398082	0.536760807	0.106606345
AC004453.2	0.950400725	0.356394409	0.625264488
AC004461.2	0.270386377	0.275976801	0.495965395
AC004466.1	0.138231053	0.251182997	0.873159006
AC004471.1	0.730689231	0.954651653	0.760219778
AC004475.1	8.88E-11	0.1471235	0.015179333
AC004477.1	0.000704078	0.875613435	0.512704722
AC004477.3	0.25078408	0.880469684	0.56978226
AC004485.1	0.05038056	0.955513067	0.70876959
AC004491.1	0.862371531	0.18620093	0.634047008
AC004494.1	0.487200209	0.694370519	0.961472283
AC004540.1	0.001144894	0.709200576	0.767210993
AC004540.2	0.003782103	0.925571827	0.753354028
AC004543.1	0.501988556	0.251635234	0.851186334
AC004554.2	0.263243028	0.989581807	0.933196642
AC004584.1	0.800938776	0.220109817	0.641843471
AC004584.3	0.192921376	0.66192871	0.80931181
AC004596.1	0.581444897	0.911545817	0.664279211
AC004623.1	0.010702831	0.321041995	0.457258697
AC004637.1	0.76513797	0.521839692	0.749020834
AC004678.1	0.930110504	0.058519706	0.613468302
AC004678.2	0.601938135	0.437988048	0.918978251
AC004687.2	0.629291851	0.808230986	0.93345606
AC004691.1	0.827196271	0.68170604	0.795454994
AC004706.1	0.285917848	0.244967196	0.873881838
AC004706.3	1.06E-10	3.48E-06	0.015056468
AC004765.1	1.29E-05	0.631352083	0.781580852
AC004771.1	0.128360946	0.77357413	0.43893441
AC004771.3	0.444508552	0.899171668	0.135154518
AC004771.5	0.683912817	0.149296732	0.621665679
AC004801.2	0.943921632	0.883612904	0.819827409
AC004801.6	0.318609124	0.221823764	0.68981804
AC004803.1	0.215115548	0.181747412	0.408821091
AC004812.2	0.000713403	0.078983243	0.930376617
AC004816.1	1.81E-16	0.721382836	0.906031856
AC004825.2	0.675454608	0.40825559	0.890411356
AC004825.3	0.53327551	0.43179446	0.745734276
AC004830.1	0.73055087	0.148521074	0.672314825
AC004832.4	0.927055313	0.406759641	0.054249965
AC004834.1	0.066418721	0.957155729	0.274316371
AC004837.2	0.395569258	0.514037649	0.71634142
AC004837.4	0.618961393	0.724208768	0.835473292
AC004846.1	0.021471181	0.896254955	0.714095437
AC004846.2	0.245190085	0.658666858	0.092840252
AC004863.1	0.168309619	0.816978093	0.257730962
AC004865.2	0.49775618	0.780420955	0.582001376
AC004882.3	0.039329543	0.426527383	0.502863072
AC004884.1	0.275549505	0.816976983	0.282586815
AC004890.1	0.100622483	0.657203228	0.633109444
AC004890.2	2.31E-14	0.206130465	0.247147166
AC004890.3	0.481811046	0.296440003	0.558310471
AC004893.1	0.747540769	0.335508784	0.218355062
AC004893.3	0.474251173	0.383113121	0.357159724
AC004898.1	0.240070278	0.822157689	0.397380996
AC004900.1	0.711244436	0.596085004	0.968491069
AC004908.1	0.605450428	0.621563209	0.763482991
AC004908.2	0.516581988	0.912660151	0.096632177
AC004908.3	0.937120529	0.765946143	0.610661578
AC004923.1	0.393367454	0.407878131	0.947692804
AC004923.4	0.650465131	0.459087259	0.668334798
AC004925.1	0.691222983	0.927123013	0.979042275
AC004938.2	0.151512155	0.277670469	0.71347296
AC004943.1	0.002098604	0.706055212	0.806176568
AC004943.2	0.141455234	0.520299499	0.369734791
AC004951.1	0.071823392	0.157431438	0.458954276
AC004951.2	0.937803333	0.477279679	0.811405729
AC004967.1	0.089307483	0.629797623	0.968491069
AC004967.2	0.546074653	0.864715271	0.030359957
AC004975.1	0.621102626	0.514241922	0.959805672
AC004982.1	0.050432196	0.676784376	0.678575897
AC004982.2	8.53E-06	0.7902526	0.86015955
AC005000.1	0.884277893	0.725668316	0.040872866
AC005005.3	0.904501432	0.909682817	0.224382201
AC005005.4	0.803645321	0.101849374	0.599655438
AC005014.2	0.533632055	0.663806161	0.658384124
AC005014.4	0.106587874	0.077595045	0.572179053
AC005019.1	0.180912308	0.967587462	0.925313787
AC005020.1	0.468925491	0.455877024	0.759326197
AC005034.5	0.519635929	0.105041272	0.452859112
AC005034.6	0.309069068	0.629110005	0.671599575
AC005041.5	0.190995775	0.903954783	0.605320263
AC005042.1	0.40239423	0.77716459	0.29215065
AC005046.1	0.923616466	0.04111894	0.827452057
AC005052.2	0.198903944	0.575565776	0.730203681
AC005062.1	6.13E-11	3.63E-08	0.312103793
AC005070.3	0.001273121	0.645669613	0.133377739
AC005072.1	0.101687195	0.896455704	0.473840278
AC005076.1	0.034548406	0.845406525	0.378435172
AC005077.4	0.009068	0.820500443	0.42675226
AC005091.1	0.501742077	0.83061649	0.154369592
AC005099.1	0.178030122	0.818443925	0.991111267
AC005104.1	0.088198634	0.67011543	0.344846965
AC005154.2	0.51227803	0.643266061	0.641635549
AC005165.1	0.042204025	0.003164091	0.918590836
AC005197.1	0.182011753	0.7555246	0.786959466
AC005224.3	0.020696022	0.811438542	0.361834345
AC005225.1	0.802195816	0.940753309	0.630821377
AC005225.2	0.039762792	0.477603768	0.546392484
AC005225.4	0.997228321	0.962243263	0.176676457
AC005229.4	0.004774509	0.955780167	0.487814234
AC005253.1	0.009848346	0.901868481	0.597580685
AC005255.1	0.160979568	0.788948878	0.806559013
AC005261.1	3.45E-13	0.577410218	0.948019817
AC005261.2	0.708768489	0.097562179	0.162516811
AC005261.3	0.343780567	0.666884989	0.115246065
AC005261.6	0.168742663	0.624930293	0.929356137
AC005274.1	0.982017091	0.971719733	0.666692775
AC005277.2	0.749608015	0.675351977	0.604986092
AC005329.1	0.092383227	0.548712724	0.818804433
AC005329.3	0.609141677	0.831739394	0.891766792
AC005332.1	0.830622056	0.929085985	0.674289062
AC005332.2	0.104911501	0.207475606	0.099330364
AC005332.3	0.518099641	0.193785447	0.497123827
AC005332.4	1.29E-08	0.561240207	0.611219508
AC005332.5	0.639697895	0.810020709	0.910133277
AC005332.6	0.000331218	0.40945577	0.280538856
AC005355.1	2.35E-11	0.010767768	0.317814214
AC005387.1	0.174001111	0.901043631	0.612499828
AC005387.2	0.357722985	0.636633411	0.947084501
AC005394.2	0.269686873	0.61193988	0.172409482
AC005400.1	0.957552729	0.078845515	0.862093169
AC005479.1	0.022791097	0.255468435	0.834226047
AC005479.2	0.147952249	0.674300318	0.812125418
AC005480.1	0.335170409	0.37018318	0.37905434
AC005481.1	0.558286769	0.831891967	0.925433186
AC005498.3	0.299203643	0.856984251	0.912583381
AC005519.1	2.32E-10	0.025291116	0.100599835
AC005520.2	0.138321925	0.907423615	0.940412241
AC005520.5	0.009157324	0.692180662	0.836971146
AC005531.1	0.47601089	0.836495517	0.647359781
AC005534.1	0.04317035	0.307420277	0.656125812
AC005537.1	0.207416374	0.253167314	0.279008501
AC005540.1	0.049674224	0.513070596	0.877463586
AC005546.1	0.691505096	0.679319878	0.463567438
AC005562.1	0.335040542	0.10939036	0.863195093
AC005586.1	0.001771272	0.163674791	0.814602653
AC005594.1	0.82268231	0.590560652	0.621673182
AC005606.2	0.000800139	0.833723406	0.324247352
AC005618.1	0.018391214	0.851764892	0.655148898
AC005618.4	0.179691635	0.866882438	0.659788583
AC005670.1	0.078160864	0.185589655	0.110346856
AC005670.3	1.37E-27	0.579837395	0.340445498
AC005674.2	4.32E-08	0.557017755	0.05815609
AC005682.1	1.29E-05	0.13653362	0.609352388
AC005695.1	0.343833173	0.360066602	0.094018424
AC005696.1	0.891405251	0.9777306	0.754997531
AC005696.4	5.97E-06	0.24857436	0.292239091
AC005702.2	0.202302725	0.584363162	0.055523436
AC005726.1	0.416822113	0.729295236	0.244410176
AC005726.2	0.180933373	0.92245193	0.810035149
AC005726.3	0.188788287	0.986582799	0.464316359
AC005730.2	0.009722721	0.338067878	0.30904516
AC005736.1	0.871851395	0.560240388	0.493692291
AC005740.3	0.992207903	0.731960079	0.979873438
AC005740.4	0.927644253	0.970014198	0.647631702
AC005747.1	2.49E-80	0.004277	0.14601388
AC005759.1	0.363580185	0.462755724	0.929110319
AC005759.2	0.391422989	0.953499818	0.366706738
AC005775.1	3.00E-05	0.92747969	0.535310009
AC005776.1	0.922526404	0.95608185	0.860744041
AC005776.2	0.077030028	0.773717907	0.805840744
AC005785.1	0.076538923	0.518483688	0.504789877
AC005785.2	0.280776272	0.330255269	0.691630608
AC005796.1	0.248378213	0.436338133	0.322244872
AC005822.1	0.023158029	0.291458333	0.878370426
AC005831.1	0.286625265	0.81330279	0.816716721
AC005832.3	0.868254536	0.76410471	0.989874572
AC005833.1	0.000123497	0.37860378	0.856101599
AC005837.1	0.362273427	0.823837555	0.994901772
AC005838.2	0.532731351	0.791848511	0.975239977
AC005839.1	0.010479742	0.278316699	0.22430064
AC005840.1	3.73E-09	0.329405833	0.83930234
AC005840.5	0.930759625	0.302929031	0.907818643
AC005842.1	0.257701156	0.721838161	0.80985914
AC005856.1	0.004277407	0.168981762	0.041188906
AC005899.5	0.89972382	0.937133761	0.532116754
AC005899.7	0.291468895	0.799146711	0.193346318
AC005899.8	0.208615578	0.293493934	0.060716699
AC005911.1	0.405261228	0.457036684	0.6816972
AC005921.3	0.05468684	0.602717024	0.128935069
AC005954.1	2.52E-05	0.268537609	0.522369808
AC005954.2	0.64176643	0.262885697	0.963098105
AC005962.1	0.40466098	0.706716377	0.865368877
AC005962.2	0.049042145	0.470943486	0.70187827
AC005972.3	0.845618939	0.534626339	0.896868213
AC005993.1	0.010012047	0.648433907	0.239912508
AC006001.2	0.857151108	0.909872162	0.944556101
AC006001.3	5.43E-13	0.804537535	0.845242573
AC006011.2	0.70332004	0.494029069	0.993790794
AC006017.1	0.867252813	0.645458799	0.435496137
AC006020.1	0.985258433	0.315408809	0.888028601
AC006042.3	0.001193504	0.871263433	0.512446785
AC006058.1	3.98E-05	0.127118129	0.060483381
AC006058.3	0.122704091	0.0715863	0.118307835
AC006058.4	8.34E-09	0.010029883	0.824867228
AC006059.1	2.25E-16	0.485263681	0.105368002
AC006059.5	0.399415231	0.916929484	0.189254272
AC006064.2	0.3743353	0.058397349	0.650578316
AC006077.2	0.254871952	0.485329178	0.944175079
AC006111.2	0.055592162	0.727156497	0.370930685
AC006112.1	0.375855885	0.907423965	0.596397908
AC006116.11	0.026954779	0.224340648	0.607399972
AC006116.4	0.953110073	0.757759935	0.588762478
AC006122.1	0.132203282	0.623297037	0.402579841
AC006128.1	3.85E-06	0.46782981	0.504104492
AC006141.1	0.654335449	0.383300722	0.542669119
AC006160.1	0.881893318	0.371257356	0.766929992
AC006206.2	0.010184208	0.448259003	0.964401938
AC006213.1	0.324876212	0.86274896	0.993668619
AC006213.2	0.321442498	0.623243948	0.341363099
AC006213.3	0.483062744	0.722230962	0.234881106
AC006213.4	0.62590721	0.797362342	0.705259277
AC006213.5	0.954488394	0.294707687	0.70266892
AC006213.6	0.035336817	0.527883317	0.177712013
AC006213.7	0.403716309	0.479335073	0.813412165
AC006252.1	0.459682768	0.581015607	0.202326562
AC006254.1	0.692409607	0.584914044	0.960863613
AC006254.2	0.42719684	0.417021637	0.891036354
AC006273.1	0.207815956	0.976518095	0.578210273
AC006277.1	0.378420913	0.441718116	0.833586226
AC006329.1	0.013707341	0.231962615	0.501594959
AC006330.1	0.413752569	0.447315432	0.778191401
AC006333.2	0.118015453	0.692399585	0.25209816
AC006372.2	0.915702956	0.557456152	0.223690987
AC006378.1	0.000455303	0.44635192	0.670890928
AC006378.2	0.000136983	0.903407803	0.864097864
AC006435.2	0.008244954	0.874791139	0.909469824
AC006441.1	0.109731103	0.976566658	0.910395576
AC006452.1	2.20E-10	0.03910936	0.004095485
AC006453.2	0.719983904	0.497819665	0.634639823
AC006480.2	0.562237165	0.816527832	0.714406264
AC006486.2	0.279818802	0.806260761	0.107706547
AC006504.1	0.033479828	0.922613538	0.540194792
AC006504.3	0.620621781	0.372192392	0.786818161
AC006504.5	5.20E-12	0.186375592	0.141900323
AC006504.7	0.006178504	0.208516988	0.90581838
AC006509.1	0.282112083	0.469036334	0.060683485
AC006511.2	0.98457964	0.626482395	0.362925467
AC006511.3	0.092824267	0.013207017	0.304945613
AC006511.4	0.916657243	0.908271148	0.77818871
AC006511.5	0.197616417	0.912214752	0.859844821
AC006511.6	0.678131524	0.470969609	0.957195372
AC006517.2	0.702043713	0.917431014	0.980375455
AC006538.1	2.90E-06	0.127767579	0.003485811
AC006538.2	0.084723293	0.625212547	0.336464505
AC006538.4	0.989813426	0.975607649	0.924870602
AC006547.1	0.083115039	0.883127298	0.620997872
AC006557.1	0.88829644	0.132336612	0.920930805
AC006557.5	0.345058916	0.175103324	0.25391557
AC006581.2	6.98E-07	0.009253824	0.563361445
AC006942.1	0.94478515	0.945101395	0.660798983
AC006978.1	0.198545755	0.967319546	0.608527984
AC007000.1	0.933685377	0.772303536	0.66132977
AC007014.2	0.635633051	0.787268925	0.458854793
AC007038.1	0.750416283	0.695441629	0.730233078
AC007038.2	0.295473148	0.157210831	0.632421383
AC007040.2	0.160625855	0.457138477	0.62080471
AC007041.1	0.05181863	0.467870058	0.803650157
AC007066.1	0.656579993	0.565099295	0.351660084
AC007066.2	0.380612662	0.378467493	0.338320025
AC007091.1	7.27E-06	0.291728167	0.120765936
AC007098.1	0.058734008	0.501927209	0.354005454
AC007098.2	0.370983228	0.771382028	0.478168169
AC007114.1	0.884363085	0.406428023	0.966386312
AC007114.2	0.064816015	0.854590618	0.483083632
AC007128.1	0.569101722	0.84708711	0.480191557
AC007128.2	0.778878926	0.623415007	0.537039934
AC007130.1	0.027155548	0.653557051	0.906619736
AC007182.2	0.175911523	0.799761457	0.248334965
AC007191.1	2.25E-11	0.03406392	0.861062438
AC007216.2	0.663506373	0.432976983	0.27592012
AC007216.3	0.105482951	0.721881076	0.790573704
AC007216.4	0.857651504	0.511906348	0.806923402
AC007218.1	4.48E-15	0.498145472	0.999157588
AC007218.3	1.62E-05	0.393058232	0.91172072
AC007225.1	0.445880895	0.591023667	0.753354028
AC007229.1	0.742632894	0.478056452	0.942032323
AC007238.1	0.387995088	0.931145752	0.740644648
AC007240.1	0.685735846	0.697667197	0.714903346
AC007255.1	0.000162692	0.853840678	0.08618196
AC007277.1	0.272881831	0.829517161	0.181496047
AC007279.1	0.360317559	0.731078388	0.483406565
AC007285.1	0.371338643	0.489764748	0.174343965
AC007285.2	0.504240341	0.907770305	0.127283827
AC007292.1	0.567060098	0.798077778	0.479462824
AC007292.2	0.749914181	0.256252471	0.969991768
AC007318.1	0.973722331	0.359967023	0.889820262
AC007319.1	2.44E-12	0.027849812	0.53385859
AC007326.5	0.369926658	0.042147882	0.110411414
AC007336.1	0.077493756	0.503187347	0.901405382
AC007342.6	0.121213262	0.271446278	0.894242464
AC007342.7	0.40351607	0.246088768	0.517457862
AC007370.2	0.491279564	0.92979056	0.888813048
AC007384.1	0.473105706	0.446890716	0.769729892
AC007386.1	0.031963	0.786021341	0.894559529
AC007389.1	0.001049233	0.216198925	0.468272538
AC007389.5	1.08E-10	0.022641674	0.65690246
AC007390.2	0.820372631	0.252675158	0.28005926
AC007405.1	0.000416094	0.817718928	0.114379343
AC007405.3	1.88E-06	0.003285102	0.448328251
AC007406.5	0.143563645	0.758457145	0.835280144
AC007448.3	0.23608334	0.583713533	0.596800773
AC007485.2	0.984620999	0.49701878	0.434101832
AC007494.2	0.679119102	0.597723379	0.697498332
AC007494.3	0.43101171	0.813997077	0.824719868
AC007496.3	0.112288833	0.016666439	0.923095249
AC007497.1	0.119159954	0.116104441	0.689981218
AC007533.1	0.218767487	0.292944052	0.184299167
AC007541.1	0.067009395	0.384370433	0.700016161
AC007552.2	0.352428394	0.023646458	0.409292508
AC007566.1	0.505146676	0.567175465	0.190343076
AC007569.1	0.602323803	0.622639946	0.586302164
AC007608.3	0.508464088	0.661769531	0.648313315
AC007608.4	0.843988489	0.502703801	0.8091724
AC007610.4	0.033324956	0.277038073	0.324550619
AC007611.1	2.80E-05	0.217115959	0.43316593
AC007613.1	0.726181843	0.952448476	0.797745046
AC007614.1	0.087718667	0.863108714	0.533701331
AC007622.2	0.299621132	0.602251246	0.834443369
AC007637.1	0.750443664	0.549384679	0.45291783
AC007663.1	3.13E-08	0.243641864	0.886988462
AC007663.4	0.211336796	0.764558155	0.942365707
AC007666.2	0.000241914	0.351818371	0.198689111
AC007681.1	0.517959114	0.826712643	0.439625763
AC007684.1	0.473456746	0.289796286	0.50470909
AC007686.3	0.525167245	0.607354229	0.756127061
AC007687.1	0.708705409	0.565466245	0.919336434
AC007688.1	0.154713154	0.743000635	0.448992796
AC007695.1	0.026335544	0.420948718	0.283929847
AC007731.1	0.711777627	0.707288545	0.967725598
AC007743.1	3.93E-05	0.355018031	0.022811641
AC007773.1	0.003113794	0.977455113	0.500473772
AC007780.1	0.338724928	0.917707817	0.375252775
AC007785.3	0.403336523	0.621924792	0.629829961
AC007790.1	0.610585551	0.668126561	0.4817239
AC007823.1	0.908891577	0.099157025	0.947983237
AC007846.1	5.65E-07	0.041389463	0.331138011
AC007878.1	0.000918732	0.082983179	0.689484932
AC007879.3	0.000136184	0.374423389	0.483537352
AC007881.3	0.873265734	0.94250926	0.693533507
AC007881.4	0.009786685	0.179015223	0.871225702
AC007906.2	1.02E-08	0.679771975	0.405696449
AC007938.2	0.731299191	0.524478821	0.643562941
AC007938.3	0.140442712	0.890483206	0.129752756
AC007969.1	0.380451213	0.638403786	0.595206627
AC007993.3	0.327094114	0.950732952	0.371086532
AC007996.1	4.77E-20	0.510723574	0.049945567
AC008014.1	1.01E-07	0.043856642	0.719278602
AC008038.1	0.002992446	0.531331785	0.456401876
AC008079.1	0.28333933	0.126004704	0.354997502
AC008105.2	0.0014927	0.538515673	0.592783823
AC008105.3	0.581192873	0.816408573	0.135101332
AC008115.2	0.967222779	0.663880322	0.345558253
AC008115.3	0.666902965	0.886437237	0.291591279
AC008115.4	0.11328829	0.170793946	0.071406462
AC008119.1	0.408967993	0.538618675	0.611057051
AC008124.1	2.79E-34	0.001721788	0.989596737
AC008147.2	0.739321486	0.732676974	0.681945513
AC008149.2	0.968905414	0.900557685	0.48749943
AC008243.1	0.165466615	0.473022663	0.129971293
AC008264.2	0.132978539	0.269915465	0.797392143
AC008267.3	0.250097579	0.657261268	0.449209959
AC008267.5	0.111034177	0.042039778	0.518975364
AC008269.1	3.04E-15	0.209230963	0.871788108
AC008280.3	0.000260297	0.968111528	0.987186866
AC008397.2	0.899462918	0.805219098	0.835474482
AC008427.1	0.961461314	0.916842741	0.719276325
AC008429.1	0.595741969	0.249786122	0.796244847
AC008429.2	0.074146742	0.233336916	0.498296065
AC008434.1	0.081168642	0.887575942	0.466464689
AC008438.1	0.197238444	0.259299809	0.750369805
AC008440.1	0.204942974	0.564422429	0.303940721
AC008443.1	0.039232641	0.281364343	0.175333724
AC008443.3	2.10E-10	0.809487782	0.216765262
AC008443.5	0.098520992	0.637993209	0.4279551
AC008443.7	0.004173475	0.514728424	0.889860138
AC008467.1	0.338883662	0.823932368	0.652170627
AC008481.1	0.729204884	0.615213903	0.9503097
AC008481.2	0.766051809	0.379788099	0.37307801
AC008507.1	0.628823665	0.973281348	0.318285124
AC008507.2	0.965527293	0.7422338	0.837630712
AC008507.4	0.799482937	0.436291101	0.931496014
AC008514.2	0.935785113	0.65069555	0.835714222
AC008517.1	2.79E-31	0.130603711	0.31684097
AC008532.1	4.95E-06	0.56937938	0.48819101
AC008537.2	0.140954081	0.911918557	0.860094587
