Gene	primed 1	primed 2	primed 3	primed+PRC2i 1	primed+PRC2i 2	primed+PRC2i 3	naive 1	naive 2	naive 3	naive+PRC2i 1	naive+PRC2i 2	naive+PRC2i 3
AL669831.5	4.142944211	4.594808468	4.50756991	4.449062299	4.193534551	4.10783232	5.455381684	5.300697656	5.290776338	5.185091925	5.471419763	4.864020073
AL669831.4	0	1.551079271	0	0	0.809038275	1.780838754	0	3.076438072	0	1.343851745	1.828228788	0
FAM87B	0.945545212	0	2.373512039	0	0	1.391862627	0	1.16299331	2.11003049	0.823048594	1.828228788	2.85783274
LINC01128	6.382089217	6.289364375	6.403271425	6.595231512	6.475555823	6.572920163	7.16492531	7.177409428	7.017186035	6.900234428	7.291046478	7.046953235
LINC00115	3.704530666	2.955362961	3.227128281	3.100821274	3.527145867	3.425598378	3.296831344	3.076438072	3.33938848	2.838573386	3.781888659	3.139398891
AL645608.6	2.493028031	2.955362961	2.58938312	0.961537214	0.809038275	0.857651675	2.257986488	3.60323329	3.916215576	2.276705773	3.485946329	1.357447143
AL645608.2	4.142944211	3.952121125	4.078237609	4.625539008	5.325754877	4.664630139	4.64157403	5.51133375	5.408119184	4.034110855	4.582500361	4.784469108
LINC02593	4.47871826	4.474694987	3.846236021	4.732234541	5.455046294	4.174231629	4.487893284	4.820829364	4.908034035	4.338318258	3.311580062	4.610859858
SAMD11	2.233785714	1.551079271	0	3.834243246	3.212954352	1.391862627	6.652847442	7.177409428	6.901867287	6.690636125	7.089619406	6.612698277
NOC2L	11.15344364	10.90817563	11.3639523	11.10878851	10.94497038	11.35757333	12.04666568	12.07214409	12.13134862	11.94361339	11.95644718	11.93752372
KLHL17	8.860727598	8.943327469	9.160533724	8.961092154	9.229728166	9.105338737	10.08082423	10.07397842	10.14689565	9.753561843	9.974554154	9.687094549
PLEKHN1	3.704530666	4.594808468	4.278047792	4.732234541	4.603675979	4.664630139	5.649099417	5.254611495	4.826054429	4.678775876	3.909825551	4.610859858
PERM1	2.712705702	2.763642785	1.811144853	3.100821274	2.810719665	2.906253842	3.296831344	2.847210617	3.216068406	3.891859343	1.186186261	2.044263835
AL645608.7	0	0	0	0	1.324284239	0.857651675	3.766677978	2.238067221	3.993359055	3.354689889	4.027335493	4.610859858
HES4	4.593826688	5.272100615	5.20809946	5.730805861	5.479570123	4.95639096	9.179498264	9.513526012	9.228143483	9.135638843	9.1185371	8.702434038
ISG15	7.229516486	7.45695256	7.430138431	7.573471112	7.613083436	8.105830866	8.562480413	8.184758346	8.190156128	8.294805287	7.949373345	7.971372262
AL645608.3	0	0	0	0	0	0	2.868961421	0	2.57906095	2.674456859	2.88313614	0
AL645608.1	0.945545212	0	0	0	2.251026904	0	1.177010844	0	2.363523009	3.241923304	3.311580062	2.044263835
AGRN	11.90579026	12.01564605	11.88092309	12.40459074	12.39389141	12.14011516	11.28287373	11.24959883	11.47857933	11.26395746	11.32245603	11.10069573
AL390719.1	6.230228498	5.120241953	5.875577351	6.43069571	6.053714159	5.813059516	6.329983253	7.189707963	6.941339975	6.72250841	6.252755281	6.680189223
AL645608.8	3.598245958	1.961824861	2.943211968	3.251939278	2.95761526	1.780838754	5.023563787	4.688421414	5.592974508	4.917782001	5.385987816	5.011060611
RNF223	0	1.551079271	0	0.961537214	2.647153715	0	3.296831344	2.847210617	3.656440839	3.459277632	2.270981161	3.139398891
C1orf159	8.408904865	8.041819756	8.266597279	8.529556592	8.248275682	8.200472764	8.27007599	8.589301981	8.588501903	8.333158536	8.559467892	8.435759171
AL390719.3	3.222379414	3.538165047	3.846236021	3.735087663	2.462643589	3.806672675	3.296831344	3.743316111	3.081213387	3.815102767	3.113204622	3.577271258
AL390719.2	3.704530666	2.763642785	0	0.961537214	2.251026904	0	0	1.16299331	2.766543711	1.343851745	1.186186261	0
TTLL10-AS1	2.712705702	1.551079271	1.418354233	2.259885606	2.462643589	0.857651675	0	1.16299331	2.11003049	0	1.186186261	2.044263835
TTLL10	2.493028031	3.952121125	2.58938312	3.100821274	3.527145867	0.857651675	2.595578256	2.574552434	0.871253083	1.725706862	2.609286169	2.044263835
TNFRSF18	3.07164815	3.413027208	0.876882044	2.259885606	2.810719665	3.888058123	2.595578256	2.847210617	2.57906095	3.64813256	4.331458962	3.754728265
TNFRSF4	0	0	0	0	0.809038275	0	0	1.16299331	1.802297929	2.0273529	0	3.139398891
SDF4	10.39087091	10.20039709	10.40422099	10.52847745	10.46642427	10.59545549	11.08183773	11.21316346	11.22733647	11.05297337	11.25101666	11.18733482
B3GALT6	7.554858552	7.677037915	7.380310663	8.112119777	8.193735908	7.835318831	7.78416103	8.244927748	7.959689387	7.577260329	7.926864073	7.878646038
C1QTNF12	5.773552307	4.808646515	6.085598307	5.478313478	6.003863529	6.273070357	4.845174823	4.542621902	4.739134267	4.224212462	4.135990757	4.700274356
AL162741.1	3.983191111	4.039393043	4.078237609	3.100821274	3.090926429	4.412927671	1.816458915	1.798436614	2.57906095	2.674456859	1.186186261	0
UBE2J2	9.633922486	9.532022608	9.404395149	9.591004258	9.679436023	9.764759412	10.30590369	10.3685104	10.52121135	10.22892686	10.44617982	10.39127314
LINC01786	4.065277763	4.536001392	4.65853501	4.78276213	4.511547119	4.10783232	3.894513133	1.16299331	2.363523009	1.343851745	1.186186261	2.85783274
SCNN1D	6.382089217	6.856196224	6.486370554	6.865186625	7.001073572	6.548095017	4.907121262	4.542621902	5.379666053	4.163586492	4.331458962	4.413464022
ACAP3	9.146530563	9.194510432	8.969151927	9.141323796	9.013745786	8.839848113	9.481335719	9.506169148	9.567833385	9.281850048	9.330590053	9.101639906
PUSL1	7.596865449	7.656480116	7.867401094	7.805003366	7.861888873	8.180420048	8.567284709	8.498297465	8.518455319	8.535106447	8.569190117	8.396165727
INTS11	10.94767649	10.86776211	10.85613822	10.84092547	10.86984922	10.76055719	11.25262115	11.24592281	11.30173106	11.10427824	11.17505899	10.84414158
AL139287.1	6.247913137	6.099351946	6.221169306	5.508651652	5.745318496	5.378661282	5.325293653	5.254611495	6.000520166	5.817063288	5.628457506	5.266619031
CPTP	7.28195847	7.206599952	7.02947869	7.280061333	7.497758476	7.193411517	8.040587002	8.319574385	8.319366849	7.880121266	8.226257978	7.829947804
TAS1R3	2.90331136	0.974662474	1.811144853	1.941914322	2.251026904	1.780838754	0	0	2.363523009	1.343851745	0	1.357447143
DVL1	10.38088737	10.2965333	10.45754058	10.29929162	10.25451606	10.20673784	10.78977213	10.89420815	10.92967947	10.68356765	10.71387067	10.45849108
MXRA8	7.357211677	7.383801021	7.401876486	7.774116705	7.527465426	7.26371264	9.179498264	9.513526012	9.315230079	9.32574169	9.370057856	9.26441751
AURKAIP1	10.57289616	10.37831647	10.58947925	10.55778932	10.49075706	10.92143189	11.21101573	11.25984214	11.30504466	11.16642834	11.228953	11.17471478
CCNL2	11.28934262	11.06653851	11.0586609	11.0775067	11.16269051	10.75107123	11.91999251	12.27044501	11.99702036	11.80566753	12.00962907	11.906155
MRPL20-AS1	8.141997966	7.943429507	8.042372286	7.966718435	8.033196996	7.745363066	8.865231656	9.009197075	8.83632837	8.838792445	8.768008737	8.836667759
MRPL20	9.804952988	9.347692781	9.652455102	9.531302171	9.256583779	9.904559004	10.42846205	10.47031561	10.57944693	10.37227728	10.51192737	10.50886083
AL391244.2	5.139916107	4.904746185	5.916107665	5.596016411	4.957994643	5.099949017	6.540069181	6.187342032	6.142762383	6.635899159	6.41249835	6.187182456
ANKRD65	3.358841516	3.275995195	2.119558269	3.6286109	2.95761526	1.780838754	4.780448729	4.820829364	4.739134267	5.154264035	4.503575917	4.610859858
AL391244.1	0	1.551079271	1.418354233	0	0	1.391862627	0	2.574552434	0.871253083	2.0273529	0	0
TMEM88B	4.47871826	3.759939612	3.569640341	4.318148709	4.193534551	3.312222168	4.487893284	4.197630754	3.834712907	4.034110855	4.582500361	4.055120803
LINC01770	5.797767289	5.037864746	5.502372459	5.806021306	5.479570123	6.043670514	2.868961421	1.798436614	2.932440767	1.725706862	2.88313614	2.507652902
VWA1	9.190633237	8.906078743	9.08699869	9.025454327	8.674571403	9.356543454	11.19247772	11.27579324	11.29888476	11.58540717	11.70022945	11.37214904
ATAD3C	5.213765116	4.99484236	5.362726012	4.78276213	4.307507054	3.888058123	5.231557815	5.207004415	4.985604652	4.163586492	4.796264896	4.700274356
ATAD3B	9.302751293	8.917642659	9.420332865	9.051446934	8.83996655	9.090371365	12.56641674	12.80373431	12.77448087	12.54414497	12.72251327	12.65967068
AL645728.2	1.917527128	1.961824861	1.418354233	0	1.324284239	1.391862627	0	0	0	1.725706862	0	1.357447143
ATAD3A	9.27714368	8.948973634	9.258354002	9.051446934	8.971143199	8.824424434	10.49426789	10.62322489	10.60732288	10.30369929	10.35357893	10.35731143
TMEM240	6.617963138	6.457238435	6.431506322	6.349216984	6.820873632	6.430771378	4.64157403	4.617362697	3.834712907	3.734031852	3.485946329	4.303617479
SSU72	10.9584576	10.86328409	10.97899785	10.87042862	10.85293672	11.23509283	12.50483091	12.54388726	12.60067049	12.40703712	12.47317867	12.40716222
AL645728.1	4.286757828	3.124568183	4.338941351	4.096390385	2.810719665	4.237708935	5.787285125	5.76251524	6.347618736	5.582482783	5.803399648	6.441736706
AL691432.3	0	0	0	0	0	0	4.011937249	4.999115394	2.766543711	3.891859343	3.485946329	2.507652902
FNDC10	8.238036314	8.036526157	8.23089457	8.480654074	7.982619693	8.315266188	10.21851208	9.993837161	10.11380746	10.16850288	10.09553827	9.883617008
AL691432.4	4.065277763	4.474694987	4.705539232	4.385089921	4.251645984	4.796953209	5.536015982	5.976381272	5.943342968	5.777152251	6.152847247	5.011060611
AL691432.2	6.617963138	6.868165283	6.615043274	6.677650054	6.614909472	6.940318847	6.417721479	6.515111977	6.376704583	5.736105615	6.300229127	6.388923597
MIB2	9.370914985	9.261836772	9.156310348	9.441766254	9.620009091	9.318515143	10.36641809	10.52836184	10.67254627	10.28158249	10.52197418	10.17825961
MMP23B	1.511889579	3.859228069	0.876882044	2.932001872	2.251026904	2.5539792	2.868961421	0	1.802297929	3.119589346	1.828228788	0
CDK11B	9.372931105	9.377307695	9.559565149	9.257535226	9.303698956	9.303760351	9.157365416	9.425269052	9.397357716	9.16879225	9.248259693	9.173661584
SLC35E2B	9.828650877	9.946102392	9.78829532	9.879203492	9.871199315	9.824125393	9.665110677	9.754042199	9.802959162	9.3982457	9.532925578	9.543464293
AL691432.1	5.67241106	5.926977782	5.724020856	5.923272255	5.35255674	5.198957602	4.566779014	5.053962806	4.441700992	4.589416778	4.796264896	4.413464022
MMP23A	0	0.974662474	0	0	1.324284239	0	0	0	1.802297929	0	0	0
CDK11A	5.351006796	5.409485957	5.07123429	5.053591334	4.922658435	5.321211727	5.496262106	5.51133375	5.094660108	5.461786068	5.247533464	5.144491127
AL031282.2	5.177313085	4.857496367	4.87959177	4.968840954	4.731697315	5.166703855	3.894513133	1.798436614	1.410613601	1.725706862	3.641492616	3.374884031
AL031282.1	3.598245958	3.653309606	3.846236021	3.388718233	3.429824881	2.740842137	3.296831344	1.16299331	0.871253083	0.823048594	1.186186261	0
SLC35E2A	7.90620802	7.76288447	7.787731328	7.767859222	7.750420842	7.380812618	6.260490311	6.475478796	6.037416961	5.893718348	5.867839393	5.581032197
NADK	10.19054178	10.20748051	10.06103248	10.00823078	10.02490094	10.0640929	11.61588817	11.80817994	11.76027413	11.69086951	11.76669537	11.68372735
GNB1	13.30166685	13.20744333	13.3347486	13.26438107	13.13268396	13.36328881	13.14498688	13.16562039	13.18073198	13.09455545	13.12106746	13.06539144
AL109917.1	1.511889579	1.961824861	1.418354233	1.941914322	2.810719665	1.780838754	0	3.076438072	0.871253083	0.823048594	0	2.507652902
CALML6	2.493028031	3.124568183	3.350557202	2.740777035	2.647153715	2.906253842	4.31586847	4.942100143	5.129253868	4.338318258	5.147250272	4.610859858
TMEM52	6.504841354	6.197484138	5.895984833	6.189847594	6.33479296	5.932967938	8.074728279	8.015452976	7.900836928	8.03621624	8.050008452	7.88819149
CFAP74	2.233785714	3.952121125	2.943211968	1.941914322	3.212954352	2.5539792	6.790691213	6.663578695	7.053664367	6.679853613	7.089619406	6.865562768
AL391845.2	1.511889579	3.538165047	1.811144853	1.941914322	2.810719665	2.740842137	5.882877625	5.858078202	5.962654916	6.225689154	5.803399648	5.715793285
GABRD	4.353623099	4.039393043	4.278047792	4.096390385	3.704062963	3.720420176	8.54797078	8.870932448	8.738886156	8.532112061	8.897128689	8.47429497
PRKCZ	8.819927978	9.001538048	8.851304288	8.71010467	8.820899704	8.660377104	9.216667778	9.393722385	9.29060707	9.399889235	9.520451568	9.21975308
AL590822.2	2.712705702	2.542482646	1.418354233	2.520276096	0.809038275	2.086901014	1.816458915	2.238067221	2.766543711	1.725706862	1.186186261	0
PRKCZ-AS1	6.040326117	5.731177659	5.362726012	6.010661514	6.438507687	5.538439875	5.684906384	5.695098283	5.463395362	5.672259277	5.34129663	4.939412842
FAAP20	9.211062565	9.057490725	9.115559333	9.547831107	9.345993401	9.707056634	7.940455478	8.325159588	8.21049296	8.251768703	8.20146709	8.248349193
SKI	11.19220975	11.126314	11.16916011	11.34779039	11.13594071	11.21748822	10.57400912	10.64124745	10.58802187	10.3028211	10.4060572	10.44238293
AL590822.3	6.15723899	6.289364375	5.528749998	6.262859706	7.115032091	6.179184486	1.816458915	1.798436614	3.452992364	2.985912803	4.420082664	3.139398891
MORN1	6.977265471	6.926564906	6.59021048	6.922646685	7.16124425	6.560560987	6.307188858	6.495431481	6.31793441	5.736105615	5.735946501	5.952572047
AL513477.1	4.47871826	4.705685787	3.569640341	4.449062299	5.059089325	4.10783232	4.487893284	4.882738609	3.33938848	4.100300671	4.237032786	4.303617479
AL513477.2	2.90331136	1.961824861	1.418354233	3.100821274	0.809038275	2.740842137	1.177010844	0	0.871253083	1.725706862	1.186186261	2.044263835
RER1	9.74238846	9.610714337	9.595883304	9.695251619	9.629628653	9.748507052	10.36365904	10.43588232	10.46137459	10.12842001	10.49034274	10.38116831
PEX10	8.277315935	7.704000417	7.743370586	8.020345324	7.750420842	8.274228104	8.026701007	7.767275364	7.839481196	7.812625763	8.00773567	7.509603971
PLCH2	0.945545212	0	1.418354233	0.961537214	0	0	0	1.16299331	2.11003049	0	0	0
PANK4	7.784256807	7.873898651	7.841330309	8.087206925	7.847828763	8.084408427	7.663718202	7.373436344	7.67945024	7.746991542	7.596943615	7.593686852
PRXL2B	6.631499501	6.271450495	6.284458607	5.945620824	6.237492362	6.211163469	4.845174823	4.999115394	4.985604652	4.338318258	4.861017049	5.324012862
MMEL1	0.945545212	2.281171668	1.811144853	3.388718233	2.810719665	0	0	0	0	0.823048594	0	0
PRDM16-DT	0	0	0	0	0	0.857651675	1.177010844	3.743316111	3.081213387	3.891859343	4.135990757	3.912728777
PRDM16	3.483503972	5.198168451	3.227128281	5.20947609	5.861838189	4.174231629	4.966516992	4.463796486	4.202752453	4.989394199	4.922987356	5.206846999
ARHGEF16	8.572229531	8.585627368	8.30143774	8.780174512	8.789368357	8.393998072	10.48159918	10.5319888	10.61268121	10.43373712	10.53443508	10.52883158
AL512413.1	0	2.542482646	0.876882044	0	0	1.391862627	1.816458915	0	1.410613601	1.343851745	1.186186261	0
MEGF6	9.577344339	9.828510485	9.420332865	9.727854238	10.01234959	9.183986928	7.482299879	7.436719367	7.696852873	7.611707508	7.65287481	7.484651877
AL513320.1	4.593826688	2.763642785	4.214470328	2.740777035	3.429824881	2.906253842	0	1.798436614	1.410613601	1.343851745	2.609286169	0
TPRG1L	9.202018559	9.02578396	9.044212046	9.148566795	9.227919892	9.237372614	9.350889234	9.493823721	9.578825928	9.561339104	9.640588641	9.564454113
WRAP73	8.897606863	8.680313471	8.781724081	9.102068074	9.02002904	8.683358153	9.533821959	9.599000869	9.635577564	9.505947668	9.557554623	9.453098902
TP73	7.128123103	7.02607305	5.448124924	7.151373602	7.256564503	5.932967938	6.136669165	6.111800182	5.9039258	5.893718348	6.704814456	6.680189223
TP73-AS1	10.57989496	10.41038835	10.55058586	10.46220269	10.52650364	10.28582361	9.626502853	9.612766995	9.654998921	9.414597397	9.437957572	9.249682475
CCDC27	2.90331136	3.275995195	4.078237609	3.6286109	3.527145867	3.054636104	1.816458915	0	0.871253083	1.725706862	1.186186261	2.044263835
SMIM1	3.8961506	4.474694987	4.147961417	4.679872893	4.003679786	4.993641753	3.098700626	2.847210617	3.33938848	2.674456859	2.609286169	2.044263835
LRRC47	10.98966902	10.7904647	11.03929707	10.79934757	10.71257527	11.06287134	11.98696173	11.76927195	11.88032814	11.8034961	11.78506198	11.73422016
RN7SL574P	0	0	1.811144853	1.941914322	1.324284239	1.780838754	0	2.574552434	2.11003049	1.343851745	2.270981161	0
AL365330.1	5.101523883	4.039393043	5.20809946	4.878799521	4.193534551	5.133712503	5.882877625	5.51133375	6.125730374	5.215274834	5.700999173	5.715793285
CEP104	9.195198154	9.170546283	8.964328433	8.955596747	9.261895429	8.985642088	10.05026446	10.27348904	10.09533488	9.801601333	10.00352549	10.01358703
DFFB	6.684409534	6.903487953	6.766805564	6.315291821	6.690387246	6.44428854	8.08816173	7.966259107	8.03915666	7.993314048	7.964186756	7.989223199
C1orf174	9.064079497	8.987889918	9.044212046	9.104553099	8.804006966	9.305612974	9.465982119	9.568715848	9.506652548	9.46099544	9.591343841	9.608429603
LINC01134	2.712705702	0.974662474	3.350557202	3.51364503	4.003679786	3.189170356	0	2.238067221	2.57906095	0.823048594	1.186186261	0
AL805961.2	0	0.974662474	0	1.941914322	2.002944579	0.857651675	0	0	0	0.823048594	1.186186261	0
AJAP1	7.332560862	7.656480116	6.904112038	7.151373602	7.857217378	6.633176069	5.07844039	4.380414052	4.266301039	5.154264035	4.728469356	4.939412842
Z98886.1	0	2.542482646	2.58938312	1.941914322	2.002944579	0	0	0	0	1.343851745	0	2.044263835
NPHP4	8.78704155	8.707215393	8.927628833	8.804833639	8.856445802	8.814049606	8.523458986	8.589301981	8.780289765	8.474005019	8.602711046	8.601599254
KCNAB2	8.790062396	8.631993195	8.91268354	9.038509167	9.224296529	9.30746322	7.492438826	6.979119386	7.080430299	7.493533074	7.467765151	7.192738417
CHD5	5.93509614	5.731177659	5.47550365	5.923272255	6.069955462	5.612148774	5.913384247	5.550006999	6.091050997	5.582482783	6.100172918	5.672256737
RPL22	10.93203611	10.69960918	10.9210553	10.99753712	10.6765687	10.98408458	11.1418459	11.14769094	11.13246974	11.31841694	11.33461997	11.35762061
AL031847.1	2.712705702	2.281171668	1.418354233	1.533447487	1.324284239	1.780838754	1.177010844	2.574552434	2.363523009	1.343851745	0	0
RNF207	6.519476242	6.663613084	5.875577351	5.6514523	6.625936799	5.894095374	8.299246738	8.537317046	8.3636241	7.875403491	8.23849548	7.849624791
ICMT	11.6505386	11.60173312	11.67861057	11.71361336	11.55370813	11.57246888	12.03630763	12.06381636	12.14963194	12.05862897	12.14132819	12.09367887
LINC00337	5.868065124	5.534918347	5.935953678	5.945620824	5.861838189	5.682274148	7.816803879	7.823604177	7.964487086	7.499677437	7.825049382	7.829947804
HES3	7.28195847	6.621807482	6.777844208	6.315291821	5.704289114	5.460761386	5.279186884	5.157772597	5.408119184	5.535408739	4.582500361	5.432373905
GPR153	8.238036314	8.315351904	7.913173199	8.117051136	8.148569165	7.976905865	10.2382277	10.52351165	10.45712564	10.49114426	10.62694075	10.4964323
ACOT7	10.44649442	10.30866116	10.56579168	10.60330805	10.29307599	10.88037961	10.53897566	10.43717239	10.45030117	10.37895914	10.43824407	10.25034865
HES2	0.945545212	0.974662474	0.876882044	1.533447487	1.324284239	1.391862627	9.108762645	9.218740947	9.116187201	8.94842282	9.098535647	8.959468133
ESPN	9.522094689	9.158413264	8.983526395	10.09701584	9.676787246	10.05420937	7.78416103	7.665279836	7.479454701	7.588834351	7.548618614	7.459260619
AL031848.1	0.945545212	1.961824861	0	2.259885606	2.002944579	0.857651675	0	1.16299331	0.871253083	2.0273529	0	0
TNFRSF25	7.482009123	7.31550959	7.306003419	7.41431901	7.852530708	7.068049012	8.637492915	8.867108782	9.105367575	8.541076638	8.640090592	8.416098271
PLEKHG5	9.780859325	9.649374258	9.49581241	9.830496839	9.747913062	9.417777824	10.22612693	10.15931205	10.17717684	10.06249966	10.10057513	9.98940009
NOL9	9.522094689	9.511183252	9.386477594	9.397866805	9.399988512	9.241249623	10.28855285	10.32457292	10.41568602	9.775251155	10.26960895	9.930565537
RNU6-731P	1.511889579	0.974662474	2.119558269	0	0.809038275	0	1.816458915	2.238067221	0	0	1.828228788	0
AL591866.1	2.712705702	3.275995195	2.943211968	2.932001872	3.429824881	1.391862627	3.47100858	3.076438072	3.452992364	2.838573386	2.270981161	3.374884031
TAS1R1	0	1.551079271	0.876882044	1.941914322	2.002944579	1.391862627	3.296831344	3.274188258	3.916215576	3.354689889	3.909825551	2.507652902
ZBTB48	8.064279163	7.998916919	8.342908659	8.117051136	8.193735908	8.147744432	7.984222625	8.23309295	8.359987411	8.057198204	8.091077768	8.164421339
KLHL21	9.074027785	9.136313328	9.156310348	8.879284094	8.85878469	8.945807553	9.911695495	9.912695308	10.02473807	9.570124444	9.816193248	9.700701385
PHF13	10.19852143	10.2027621	10.09673365	10.05780135	10.17791075	10.09441567	9.987131556	10.04550238	10.00041667	9.851699938	10.06665908	9.987181037
THAP3	7.790303823	7.697306885	7.862224491	7.939138461	7.775396303	8.383511581	7.725196141	7.307249588	7.338733734	7.384864368	7.034539614	7.4070968
DNAJC11	10.43592574	10.36465186	10.39707979	10.21325549	10.27304827	10.17364547	11.34713762	11.38944964	11.34007792	11.2558125	11.31957896	11.39743588
CAMTA1-DT	3.358841516	2.763642785	1.418354233	3.735087663	3.527145867	3.312222168	2.257986488	2.574552434	3.748328731	1.725706862	1.186186261	1.357447143
CAMTA1	9.921110092	10.00691253	9.907421427	9.767597984	9.990118495	10.09976402	9.339701006	9.128989662	9.234115687	9.330920068	9.128434791	9.05578858
CAMTA1-IT1	0	2.763642785	2.777117774	2.259885606	2.002944579	1.391862627	2.595578256	1.798436614	1.802297929	2.0273529	0	0
AL359881.3	3.983191111	4.273399977	3.927786203	3.251939278	4.003679786	3.53071028	2.257986488	1.16299331	0	0	2.609286169	0
AL359881.2	2.233785714	2.281171668	0	2.740777035	1.324284239	0.857651675	3.296831344	3.448071447	1.802297929	3.119589346	0	1.357447143
AL359881.1	2.90331136	3.275995195	2.373512039	2.932001872	2.462643589	2.339260426	3.47100858	3.988283377	3.216068406	3.734031852	2.88313614	2.507652902
VAMP3	9.942988587	9.979588879	9.986865166	9.854317605	9.947900707	9.807224681	10.45592304	10.50763498	10.53981444	10.55005953	10.36059401	10.45206939
Z98884.2	0	3.952121125	3.350557202	3.100821274	2.810719665	1.780838754	4.404443358	2.847210617	4.327168105	3.64813256	3.781888659	4.055120803
PER3	8.064279163	8.436856985	7.32870019	7.677279247	8.201128111	7.301337589	8.708797178	8.522808094	8.640391374	9.075207222	8.672021633	8.826774052
Z98884.1	2.712705702	1.961824861	2.373512039	2.259885606	2.251026904	2.906253842	0	0	0	2.0273529	0	3.139398891
PARK7	11.72779562	11.65365582	11.94598242	11.73381919	11.64834318	12.15765815	11.65646908	11.65083847	11.75820338	11.75391516	11.68801155	11.74870227
RF00019	7.837788609	8.108925287	7.942900559	7.876540203	7.585104886	7.905407319	7.716572352	7.783594975	7.691075288	7.731411539	7.231067479	7.705893114
AL034417.4	3.598245958	4.121685472	3.464253441	3.251939278	3.32546087	2.339260426	2.868961421	4.942100143	3.834712907	3.459277632	4.135990757	3.374884031
AL034417.3	0	1.551079271	2.119558269	0.961537214	1.703158005	2.086901014	0	2.238067221	0	0	0	0
ERRFI1	10.8648594	10.93331613	10.7196886	11.29219359	11.70110837	11.14587403	9.707072155	9.624139269	9.592837231	9.74712008	9.61734825	9.795056182
AL034417.2	0	0.974662474	2.119558269	0.961537214	1.324284239	0	0	0	0	0	0	0
AL034417.1	0	1.551079271	0.876882044	0	0	1.391862627	1.177010844	0	0	0	1.186186261	0
SLC45A1	5.415023273	5.926977782	5.528749998	5.508651652	6.293893529	5.133712503	1.177010844	0	0	0	0	0
RERE	11.93474108	11.97090547	11.76157991	11.96506711	11.9729505	11.66340718	11.15626662	10.99925635	11.10666061	10.94791709	11.12896733	11.09349325
RERE-AS1	0.945545212	0.974662474	0.876882044	0.961537214	1.703158005	0	0	0	0	0.823048594	1.828228788	0
RPL7P11	0	0.974662474	1.418354233	1.533447487	1.703158005	1.780838754	1.177010844	2.238067221	0.871253083	0.823048594	1.186186261	1.357447143
RPL7P7	2.493028031	2.542482646	0	3.735087663	2.251026904	1.391862627	1.177010844	0	0	0	0	0
AL357552.1	2.712705702	2.763642785	0	3.100821274	2.251026904	1.391862627	1.816458915	1.16299331	0.871253083	0	2.270981161	1.357447143
AL357552.2	1.917527128	0.974662474	2.119558269	2.520276096	2.002944579	1.780838754	0	0	1.410613601	0.823048594	0	0
ENO1	15.97260131	15.70208968	16.12975087	15.98364635	15.74892273	16.54225459	14.45843902	14.45375118	14.44408373	14.44569605	14.54141585	14.38669252
