Accession	naive_primed	naive_naive2i	primed_primed2i
RCC1_HUMAN	3.03E-05	0.728293371	0.700331173
NHRF1_HUMAN	4.61E-05	0.213590512	0.009509201
HMGN5_HUMAN	0.00075467	0.285850328	0.606032987
HMGN2_HUMAN	0.001066208	0.108871552	0.915640565
GNL3_HUMAN	0.000155422	0.64347653	0.376399535
VAT1_HUMAN	0.000412378	0.502646086	0.454050179
FBRL_HUMAN	0.00052778	0.516876297	0.972993508
IF2P_HUMAN	0.001002309	0.491345966	0.013708063
SENP7_HUMAN	0.005678601	0.975367955	0.741796531
HMGN3_HUMAN	0.000590764	0.522656858	0.868215186
NOG2_HUMAN	2.57E-05	0.03146663	0.940825848
SON_HUMAN	0.000150885	0.545333975	0.404655396
DDX21_HUMAN	0.000259165	0.068021508	0.117137709
RL24_HUMAN	1.39E-05	0.045832665	0.036359045
ATPG_HUMAN	0.000141545	0.229810722	0.103907686
SPB1_HUMAN	0.000175855	0.453346804	0.355167738
RM02_HUMAN	0.000743349	0.219934008	0.428663367
P66B_HUMAN	0.019247643	0.969021235	0.138120355
CA131_HUMAN	0.000850221	0.010153268	0.161135253
WDR33_HUMAN	0.003335152	0.199801377	0.100169361
APOE_HUMAN	0.001789167	0.338037542	0.765981127
MRT4_HUMAN	0.001599637	0.04206035	0.93664156
RT36_HUMAN	0.00503248	0.048488277	0.627438172
RT22_HUMAN	3.33E-05	0.006281265	0.402150056
RT09_HUMAN	0.001883629	0.935991233	0.202285375
QCR1_HUMAN	0.000456612	0.772702402	0.417613264
CAF1A_HUMAN	0.000208149	0.143265865	0.38198139
RRP1_HUMAN	0.000169004	0.186630144	0.086984603
RPF1_HUMAN	0.015322423	0.527606874	0.040502795
LPPRC_HUMAN	0.001494867	0.145017247	0.790851674
ITA6_HUMAN	0.004026617	0.3206424	0.178775578
DDX41_HUMAN	0.00013289	0.269664006	0.053743305
NH2L1_HUMAN	2.89E-06	0.148466293	0.486764279
RT26_HUMAN	4.51E-05	0.00659023	0.976154095
CH60_HUMAN	0.002106867	0.763320463	0.351846521
GLYM_HUMAN	0.000111495	0.006927616	0.932810488
QCR2_HUMAN	0.000381161	0.017701297	0.149544876
U3IP2_HUMAN	0.001014747	0.845142859	0.063578437
COX7B_HUMAN	0.00272012	0.043394867	0.835974185
PEBP1_HUMAN	0.032108238	0.072466095	0.106438262
DHX9_HUMAN	0.000298324	0.030550467	0.745722608
CC137_HUMAN	0.001299624	0.584533396	0.083851512
RM44_HUMAN	0.000290433	0.117020179	0.412497862
COX5A_HUMAN	1.88E-05	0.703505122	0.179306769
RT15_HUMAN	0.000384114	0.054350126	0.284082831
RAB13_HUMAN	5.55E-05	0.552984916	0.838327431
ATPB_HUMAN	0.004551721	0.61032699	0.554696543
COXM1_HUMAN	6.12E-06	0.056021211	0.018942987
F136A_HUMAN	0.001381242	0.277487515	0.088997016
RL37A_HUMAN;RL37L_HUMAN	0.000622983	0.607278361	0.473127493
AGRE2_HUMAN	0.000500666	0.066054915	0.164989591
TOM34_HUMAN	0.000784686	0.13655547	0.248851536
RL7L_HUMAN	0.000234262	0.015188107	0.103177341
RT28_HUMAN	0.00298045	0.052171133	0.15863455
TBB4A_HUMAN;TBB6_HUMAN	0.000413097	0.011772678	0.7438808
LITD1_HUMAN	9.02E-06	0.268737192	0.51456327
SPS2L_HUMAN	6.26E-07	0.79437035	0.016500979
NOC3L_HUMAN	0.00081334	0.212753216	0.501243621
DX39B_HUMAN;DX39A_HUMAN	0.001933539	0.090648898	0.387461439
DNJA3_HUMAN	0.00133184	0.080027831	0.833694027
SLIRP_HUMAN	0.000757206	0.102089621	0.353520116
NOP10_HUMAN	5.34E-05	0.131844994	0.859791644
DNJB1_HUMAN	0.000439765	0.519300439	0.343401928
DHE3_HUMAN	0.005515113	0.927991322	0.158874566
RPF2_HUMAN	0.001144098	0.774152101	0.0307463
NOP16_HUMAN	1.97E-05	0.004763456	0.399864721
T2FA_HUMAN	0.001871896	0.266251144	0.023846832
DDX18_HUMAN	0.001299582	0.051148298	0.653843677
RL3_HUMAN	0.000363722	0.002436138	0.709577075
PA2G4_HUMAN	0.002552885	0.055103432	0.744222413
ATPA_HUMAN	0.003102913	0.278109085	0.701711525
BUD31_HUMAN	0.000304842	0.080667646	0.359486363
PURA_HUMAN	7.37E-05	0.460611506	0.103825846
C1TM_HUMAN	0.001198719	0.176110933	0.399666319
MAK16_HUMAN	0.007913189	0.701822825	0.22620518
IF6_HUMAN	6.15E-05	0.010929492	0.554016242
NIP7_HUMAN	0.008364263	0.13913848	0.940195005
HYOU1_HUMAN	0.000508686	0.032087713	0.760278463
K1C19_HUMAN;K1C14_HUMAN	0.000115758	0.499874207	0.413771408
UT14A_HUMAN	0.00392539	0.032730609	0.015874756
TEAD1_HUMAN;TEAD3_HUMAN	7.88E-05	0.010289989	0.221576152
MDHM_HUMAN	0.00155564	0.109856427	0.936424838
HMGA1_HUMAN	0.000509788	0.825212302	0.177287476
FUMH_HUMAN	0.00113105	0.29067208	0.703953725
ATP5J_HUMAN	0.000817762	0.224928756	0.396324373
H2B1M_HUMAN	0.000286965	0.35325	0.543505938
GRPE1_HUMAN	0.001092959	0.032257425	0.461437847
RABL3_HUMAN	0.000822953	0.102867302	0.34708786
HDGR3_HUMAN	5.90E-05	0.105249158	0.021525207
K2M2_SHEEP;KRT86_HUMAN	0.022388967	0.078290318	0.566628131
HIG2A_HUMAN	0.000440242	0.028153069	0.543047664
ICT1_HUMAN	0.000978589	0.105746536	0.080038471
SURF6_HUMAN	0.027693676	0.073284549	0.053367044
SSBP_HUMAN	0.001622654	0.032073613	0.280981081
LS14A_HUMAN	1.37E-05	0.412704347	0.271712795
RM14_HUMAN	0.007295856	0.058378815	0.409687928
MK67I_HUMAN	0.001011241	0.473091564	0.27662849
THYN1_HUMAN	0.044278391	0.03821023	0.465824167
PERE_HUMAN	0.001448653	0.880973842	0.50085551
UCRI_HUMAN	0.000529514	0.214219377	0.765706478
RT18A_HUMAN	0.012768994	0.694801058	0.111529191
SHCAF_HUMAN	0.000285069	0.864641786	0.114533569
MAX_HUMAN	0.000459017	0.815730091	0.029052815
RLP24_HUMAN	0.000417896	0.153277624	0.176574902
PDIP2_HUMAN	0.001219603	0.411263737	0.398372501
SRPK1_HUMAN	0.000957015	0.672141826	0.252103588
RM53_HUMAN	0.002827473	0.333702728	0.795484604
RM13_HUMAN	0.002605265	0.818284951	0.035591076
SMCA5_HUMAN	0.000375066	0.619538066	0.426863471
PLEC_HUMAN	0.002249951	0.120479917	0.976969283
IF2B3_HUMAN	3.89E-05	0.612274616	0.132865566
G45IP_HUMAN	0.00071944	0.137380279	0.16712051
NDUB6_HUMAN	0.001005612	0.078741739	0.925240615
ICAM5_HUMAN	0.016305531	0.254981145	0.123895828
CTCF_HUMAN	0.001679863	0.001114555	0.478986395
PESC_HUMAN	0.006611948	0.03818728	0.426116834
NOP2_HUMAN	0.00248243	0.068582708	0.309923357
IF4A3_HUMAN;IF4A1_HUMAN	6.70E-05	0.188701845	0.750763999
MPPB_HUMAN	0.005993452	0.693446251	0.686386873
RM09_HUMAN	0.014880372	0.123135709	0.294950448
RT07_HUMAN	0.000339274	0.425859083	0.798181477
RT06_HUMAN	0.000372586	0.000795199	0.469681324
CBX5_HUMAN	0.000871526	0.267123972	0.17040061
LAMC1_HUMAN	0.14889149	0.584266851	0.854193505
TIM9_HUMAN	0.000153976	0.206141005	0.842350835
LRFN3_HUMAN	0.050367338	0.071639458	0.301882579
PAIRB_HUMAN	0.000210736	0.055842486	0.013394792
NDUS1_HUMAN	0.000361393	0.24322038	0.057573542
NOG1_HUMAN	0.000427851	0.08450983	0.52200373
RL37_HUMAN	0.000187162	0.256753433	0.414694778
ATPO_HUMAN	0.002961445	0.674539733	0.964488969
DKC1_HUMAN	0.001552125	0.033550846	0.217156032
SRBS2_HUMAN	0.0029405	0.243190987	0.629666657
MTA2_HUMAN	0.001084201	0.66763269	0.574264553
DNM3B_HUMAN	0.000999888	0.225540912	0.044167586
L10K_HUMAN	0.038511783	0.100947246	0.168504682
AATM_HUMAN	0.005514385	0.047283659	0.2924882
RBM28_HUMAN	0.001578904	0.551520852	0.097899161
TFAP4_HUMAN	9.51E-06	0.857313259	0.008380998
RT63_HUMAN	0.002537722	0.107165742	0.509108773
SDHA_HUMAN	0.0002791	0.817640661	0.073344303
AN32A_HUMAN;AN32B_HUMAN	0.001388568	0.083235343	0.264645106
BRX1_HUMAN	0.002722846	0.308470653	0.850548468
FUBP2_HUMAN	0.003028318	0.882586174	0.076757948
CENPV_HUMAN	0.005920307	0.057276461	0.360775661
TRAP1_HUMAN	0.002221833	0.194103016	0.799193856
TXND5_HUMAN	0.003676411	0.492123362	0.539521001
EBP2_HUMAN	1.04E-05	0.010412443	0.061864645
CLD6_HUMAN	0.000916555	0.364521262	0.20268568
AMPL_HUMAN	0.005869949	0.79806504	0.051885841
NOP53_HUMAN	0.026966203	0.190849395	0.410205651
PNO1_HUMAN	0.012919536	0.047401912	0.450226483
ADRO_HUMAN	0.000149907	0.85462958	0.409081165
C1QBP_HUMAN	0.012435314	0.792987038	0.091232105
NGDN_HUMAN	0.000192058	0.012606133	0.589683876
FAKD4_HUMAN	0.000355081	0.104565174	0.359441987
PK1IP_HUMAN	0.022348985	0.906570493	0.082181141
LLPH_HUMAN	0.032490262	0.915365749	0.05580797
IF2A_HUMAN	0.004507826	0.043641544	0.443027714
VATG1_HUMAN	0.001669784	0.439219852	0.600897333
DPPA4_HUMAN	0.024851863	0.026871451	0.489468758
NDUBA_HUMAN	0.000129863	0.981559745	0.132891704
H2AZ_HUMAN	0.035814517	0.687159755	0.029010542
SAP18_HUMAN	1.49E-05	0.039827055	0.73265744
NDUV2_HUMAN	0.001288533	0.054840022	0.316008256
MGN2_HUMAN;MGN_HUMAN	7.45E-07	0.185380019	0.371988134
RM32_HUMAN	0.018756409	0.631191496	0.142078936
IMDH2_HUMAN	0.028663206	0.02360743	0.478905673
SMU1_HUMAN	0.000844324	0.567886558	0.747482778
SSF1_HUMAN	0.000856908	0.136313835	0.242947798
TOM20_HUMAN	0.005441029	0.82496403	0.628245155
F162A_HUMAN	0.001048694	0.738649645	0.994215689
TIF1B_HUMAN	0.001011717	0.023091662	0.359465021
IMP4_HUMAN	0.000150019	0.022890543	0.693352534
MPP10_HUMAN	0.004183518	0.267406098	0.357509842
RL34_HUMAN	0.042305737	0.06311466	0.700174953
NDUB7_HUMAN	0.003016518	0.889383325	0.172823863
GTR1_HUMAN	0.001082821	0.997388662	0.71650443
SPTB2_HUMAN	0.004731253	0.171860058	0.318247219
RFIP1_HUMAN	0.000996337	0.176982323	0.976199814
SRSF4_HUMAN	0.003639937	0.291212406	0.277294486
RRS1_HUMAN	0.016397047	0.188837348	0.129070375
RL10A_HUMAN	0.001422779	0.004802466	0.259728573
MFGM_HUMAN	0.004568651	0.482105624	0.080455845
LMNB1_HUMAN	0.008091795	0.744847271	0.456220904
BAZ1B_HUMAN	0.067017799	0.018426591	0.524497376
MYPT2_HUMAN	0.03070112	0.070395996	0.443302523
NDUS3_HUMAN	0.001090392	0.391619957	0.498131186
SYAM_HUMAN	0.008991307	0.242784704	0.157169076
LA_HUMAN	0.000800432	0.010549356	0.256925634
CDV3_HUMAN	0.022938914	0.114856949	0.075541356
RT33_HUMAN	0.000465742	0.012756282	0.598571589
RL22_HUMAN	0.000520619	0.603662755	0.372206162
ISY1_HUMAN	0.012795949	0.071236109	0.203083884
ANXA6_HUMAN	0.018322938	0.086713663	0.540010738
ORC1_HUMAN	0.002421723	0.116175306	0.191309271
S10AD_HUMAN	0.031181751	0.236892786	0.36284657
NCAS2_HUMAN	0.003515534	0.200805808	0.742727197
RAE1L_HUMAN	0.010081742	0.02203827	0.955767237
RM48_HUMAN	0.059065916	0.329315631	0.131702897
LAP2B_HUMAN;LAP2A_HUMAN	0.086421959	0.033919838	0.01981917
FUBP3_HUMAN	0.00019389	0.197331482	0.329067772
LAMA1_HUMAN	0.035602986	0.536837841	0.344694467
RPOB_MYCHJ	0.005944057	0.949047906	0.866926543
CCD12_HUMAN	0.06958952	0.108078416	0.019143518
CATD_HUMAN	0.013929194	0.007804878	0.728674006
UBF1_HUMAN	0.008308374	0.432949862	0.090774906
PCKGM_HUMAN	0.000239702	0.920634133	0.357086524
TCRG1_HUMAN	0.015846643	0.298387697	0.080886188
ENOA_HUMAN	0.000783882	0.304693701	0.04001761
NDUS7_HUMAN	0.000576781	0.434761454	0.420344588
PTBP3_HUMAN	0.000305143	0.046260271	0.178452073
ACOT8_HUMAN	0.001383195	0.267783257	0.72281273
NOL10_HUMAN	0.007622583	0.213399143	0.560521108
RM47_HUMAN	0.001528701	0.032650027	0.931918285
SRSF5_HUMAN	0.006095782	0.064565367	0.230719058
RT21_HUMAN	0.003207458	0.037942821	0.37940636
SAMD1_HUMAN	0.001259837	0.197361164	0.013443993
NC2B_HUMAN	0.00130104	0.206321404	0.507495206
PRDX3_HUMAN	0.000253617	0.170212843	0.848379529
SPTN1_HUMAN	0.000452507	0.953021851	0.137116711
BBC3_HUMAN	0.000167876	0.044424084	0.341798872
RM40_HUMAN	0.004496633	0.960811327	0.302537522
ZCHC3_HUMAN	0.002494046	0.401482051	0.87723976
SNW1_HUMAN	8.63E-05	0.100563799	0.288738409
H2A1H_HUMAN	0.05475536	0.062899294	0.369081229
ALKB5_HUMAN	0.025223895	0.405183377	0.087893128
THIK_HUMAN	0.005485902	0.296610986	0.681490161
CPNE3_HUMAN;CPNE4_HUMAN	0.027643884	0.361839161	0.416458399
NDUA2_HUMAN	0.00078686	0.664702329	0.01747661
RS23_HUMAN	0.006731192	0.081810195	0.770125328
CH10_HUMAN	0.016581017	0.066395663	0.175225309
RL18A_HUMAN	0.009805214	0.02484739	0.062558371
AASS_HUMAN	0.016277399	0.610984694	NA
AROS_HUMAN	0.106779654	0.010282245	0.269422871
ZMAT2_HUMAN	0.023278725	0.078831214	0.049107911
GRSF1_HUMAN	0.000841107	0.008163663	0.447598178
PTBP1_HUMAN	0.000870756	0.012665309	0.861893459
RT14_HUMAN	0.006657986	0.013593931	0.318346582
TIM10_HUMAN	0.001920335	0.5678083	0.660167186
CYC_HUMAN	0.037857523	0.147878447	0.448953687
DDX27_HUMAN	0.018058904	0.853864561	0.136969894
NDUS4_HUMAN	0.023791829	0.996129448	0.046214654
VATB1_HUMAN;VATB2_HUMAN	0.017136203	0.305178395	0.263376892
PPIF_HUMAN	0.012360265	0.788985443	0.389790217
HCDH_HUMAN	0.010244742	0.116841802	0.527106479
RL27A_HUMAN	0.009904515	0.028543292	0.828232186
DHX15_HUMAN	0.000777861	0.055489591	0.343010415
NSF_HUMAN	0.00226958	0.257329078	0.967242946
RU2B_HUMAN	0.02597242	0.271605689	0.032849526
RALY_HUMAN	0.001464507	0.99067615	0.615172259
RL10_HUMAN	0.017161523	0.01710449	0.775255582
FLNB_HUMAN;FLNC_HUMAN	0.024906683	0.924465755	0.119540369
CEBPZ_HUMAN	0.003987782	0.184172617	0.611060161
ABCF2_HUMAN	0.205385346	0.383066804	0.051027463
CHD1L_HUMAN	0.287509189	0.042708789	0.1794064
ELMO2_HUMAN	0.023253321	0.889117729	0.79608553
RS17_HUMAN	0.002367814	0.004517184	0.398809478
RM22_HUMAN	0.056244814	0.486053254	0.291825009
COX6C_HUMAN	0.013792316	0.20212711	0.017031229
KRI1_HUMAN	0.029132915	0.123491094	0.022852223
RBPMS_HUMAN	0.918132315	0.013871797	0.803646593
NIPS1_HUMAN	0.025647546	0.011494531	0.73570588
RD23B_HUMAN	0.010602495	0.086112952	0.919609035
SRPRA_HUMAN	0.007547867	0.085595553	0.213785424
ARI3B_HUMAN	0.011865662	0.265537083	0.012879847
BOREA_HUMAN	0.002234459	0.002807151	0.326270909
H2A1B_HUMAN;H2A1C_HUMAN	0.121598964	0.133651051	0.898227045
CFA46_HUMAN	0.136324758	0.3548004	0.261442743
DDX24_HUMAN	0.000304159	0.062851789	0.61599568
NDUA7_HUMAN	0.000185696	0.331068298	0.388377816
SRSF3_HUMAN	0.016914064	0.930854479	0.160713124
TIM8A_HUMAN	0.000452875	0.040482479	0.714160437
RL9_HUMAN	0.003397551	0.095851836	0.978421358
PR40A_HUMAN	0.013612104	0.629436903	0.213471748
RL4_HUMAN	0.004772975	0.006881238	0.426334118
SPF27_HUMAN	0.018835256	0.137960106	0.272700418
DDX5_HUMAN	0.002299253	0.640001565	0.942962174
RBMX_HUMAN	0.038222187	0.890737688	0.15520699
HIRP3_HUMAN	0.022997151	0.633234906	0.357995669
RSSA_HUMAN	0.05625129	0.044528903	0.085717884
ECHA_HUMAN	0.004065818	0.081193538	0.976414276
RM42_HUMAN	0.001530879	0.354820159	0.458486975
PABP1_HUMAN	0.007385476	0.008224461	0.490583301
DCA13_HUMAN	0.028958791	0.165192114	0.921558869
NU153_HUMAN	0.007470348	0.03479354	0.395938825
COX41_HUMAN	0.007959287	0.093434078	0.836157252
SUGP1_HUMAN	0.004874999	0.087905966	0.071612782
EZRI_HUMAN;RADI_HUMAN	0.018983778	0.040389747	0.145993756
AP2A1_HUMAN;AP2A2_HUMAN	0.024065368	0.01806482	0.874398301
AIFM1_HUMAN	0.034213024	0.115083848	0.20817429
CK098_HUMAN	0.008782472	0.038970443	0.75258497
PHB2_HUMAN	0.017347991	0.037865983	0.386111049
RS27L_HUMAN	0.000791085	0.358021272	0.701999044
RPA34_HUMAN	0.018098337	0.418265415	0.069932497
KPYM_HUMAN	0.172196596	0.023644291	0.747308358
SRSF6_HUMAN	0.012788935	0.223822423	0.254395308
DDX47_HUMAN	0.009968267	0.288985831	0.646782623
RS12_HUMAN	0.001019098	0.030262973	0.793349159
RL35A_HUMAN	0.00473692	0.024744824	0.610977222
RACK1_HUMAN	0.00102679	0.005206378	0.379010393
SNUT2_HUMAN	0.048811013	0.16444041	0.145810618
NDUA8_HUMAN	0.009595885	0.08710858	0.702715016
TIM14_HUMAN	0.009148413	0.398729841	0.761365769
ODPX_HUMAN	0.004012429	0.0620735	0.894075585
CC124_HUMAN	0.002848386	0.806013106	0.539864279
COX5B_HUMAN	0.003102213	0.943497284	0.062944891
MAP4_HUMAN	0.004180892	0.100332006	0.146500801
COR1C_HUMAN	0.013039175	0.24954535	0.396451792
RL12_HUMAN	0.018570292	0.131811741	0.060845949
NUMA1_HUMAN	0.079942766	0.059483896	0.699686447
BCL7B_HUMAN;BCL7A_HUMAN	0.002179903	0.682790217	0.749259894
P66A_HUMAN	0.093224321	0.036876851	0.198610936
RM51_HUMAN	0.011672608	0.115069523	0.088254314
IF2GL_HUMAN	0.005765034	0.19884838	0.632113026
HDHD5_HUMAN	0.003240381	0.241705869	0.742516382
KAD2_HUMAN	0.015333547	0.004628165	0.288992133
VATD_HUMAN	0.000613884	0.015726388	0.414003017
RS9_HUMAN	0.009224737	0.0173486	0.604882532
VATE1_HUMAN	0.012487765	0.428104136	0.790783764
RL17_HUMAN	0.015519419	0.022740058	0.865057588
BIP_HUMAN	0.002606497	0.219801751	0.531251181
NASP_HUMAN	0.173215639	0.00100105	0.154547421
SALL4_HUMAN	0.631624122	0.010045979	0.990806305
SMD2_HUMAN	0.001485324	0.020594565	0.358846531
RSMB_HUMAN	0.006042611	0.031142281	0.185837336
CCAR2_HUMAN	0.262697682	0.045434928	0.017282292
RM20_HUMAN	0.002245748	0.066235932	0.442112091
TARA_HUMAN	0.005238156	0.493421624	0.321827887
RL18_HUMAN	0.059730638	0.090752869	0.763971467
BAF_HUMAN	0.000770662	0.01954008	0.41777749
U520_HUMAN	0.001405717	0.294085592	0.850152946
G6PI_HUMAN	0.007641684	0.03095711	0.443481305
ATPD_HUMAN	0.013139789	0.813490356	0.787004421
ACSL4_HUMAN	0.043421285	0.568790494	0.254028315
REN3B_HUMAN	0.059230135	0.013251139	0.318750652
FAS_HUMAN	0.064267226	0.062821401	0.940063641
ODO1_HUMAN	0.013289349	0.121285413	0.64831698
CALD1_HUMAN	0.004362982	0.151824404	0.118793816
RBM8A_HUMAN	0.014257594	0.795451748	0.921437002
LYRM7_HUMAN	0.006402293	0.374755575	0.964490869
PERM_HUMAN	0.010800127	0.048845399	0.451677042
PINX1_HUMAN	0.00498902	0.380991741	0.234075288
VINC_HUMAN	0.031386748	0.060289992	0.035270885
PDS5B_HUMAN	0.153778863	0.219577325	0.718691296
ORC2_HUMAN	0.025990971	0.004786951	0.267468998
ENAH_HUMAN	0.004323423	0.781419248	0.828661902
LYAR_HUMAN	0.019053962	0.02605378	0.865939258
MIF_HUMAN	0.010657808	0.148264598	0.196073121
SRSF7_HUMAN	0.059404985	0.331820621	0.210130813
RL15_HUMAN	0.017090554	0.11768183	0.30186297
THIM_HUMAN	0.005102316	0.179592917	0.993786413
K1C18_HUMAN	0.014003461	0.549359858	0.327578079
GPTC4_HUMAN	0.077095375	0.084693464	0.048307377
RL31_HUMAN	0.003333583	0.008189661	0.435783673
LC7L2_HUMAN	0.013616215	0.191391981	0.322634413
NEP1_HUMAN	0.14080234	0.189400527	NA
HP1B3_HUMAN	0.07253418	0.076203646	0.28269041
PWP2A_HUMAN	0.010909235	0.026315877	0.016044595
EF1D_HUMAN	0.199088813	0.066694286	0.063007058
TPD54_HUMAN	0.010300415	0.182163471	0.436488212
HMGB3_HUMAN	0.002342071	0.213272393	0.601925013
TBB5_HUMAN;TBB2A_HUMAN;TBB3_HUMAN	0.050196607	0.008000682	0.620833398
CDC5L_HUMAN	0.006628865	0.368353033	0.471305339
RL23_HUMAN	0.001538235	0.047627526	0.449264423
KCRU_HUMAN	0.004701598	0.73527212	0.790555357
LAMB1_HUMAN;LAMB2_HUMAN	0.153514897	0.488914934	0.161711336
SERPH_HUMAN	0.019156126	0.256183106	0.681446289
RBBP4_HUMAN	0.018229299	0.195481968	0.641353295
RL14_HUMAN	0.004576043	0.006130851	0.258075138
PRP4B_HUMAN	0.009522496	0.952744483	0.826079518
RRFM_HUMAN	0.005686995	0.576585408	0.587370021
HNRPC_HUMAN	0.009734486	0.266830601	0.608445314
RM52_HUMAN	0.021738776	0.145520888	0.359570845
SELH_HUMAN	0.031222528	0.106030092	0.103513605
MAP7_HUMAN	0.413784257	0.258441119	0.622709913
RL13A_HUMAN	0.003715904	0.013150842	0.789109435
RLA0_HUMAN	0.000705527	0.021136658	0.495876553
K2C8_HUMAN	0.004747238	0.426715433	0.638158885
CX6B1_HUMAN	0.003999717	0.044783092	0.002206223
RL35_HUMAN	0.025949506	0.113375819	0.387039204
XRCC5_HUMAN	0.029017547	0.04115097	0.136960109
STMN1_HUMAN	0.166691667	0.110752876	0.09152406
DDX17_HUMAN;DDX3X_HUMAN	0.023779148	0.969909197	0.255356374
PRDX5_HUMAN	0.009637881	0.211522576	0.630679447
NU155_HUMAN	0.029401733	0.059418287	0.237743618
NDUV1_HUMAN	1.96E-07	0.014548384	0.106863222
CING_HUMAN	0.022959238	0.17951651	0.086867835
HS90A_HUMAN	0.034835888	0.393581516	0.428408908
NDUF2_HUMAN	0.000965046	0.129401599	0.207673648
HMGN4_HUMAN	0.03778966	0.213677366	0.445271546
MIC19_HUMAN	0.551063411	0.277512238	0.144615805
STAU1_HUMAN	0.000458374	0.133026605	0.028687252
NOP14_HUMAN	0.208941584	0.200483108	0.080511211
RS5_HUMAN	0.1582294	0.087375414	0.050480722
G3P_HUMAN	0.009475688	0.179199516	0.937680852
GLU2B_HUMAN	0.003312514	0.00698956	0.898317426
PUM3_HUMAN	0.01561911	0.052455071	0.694761643
RS27_HUMAN	0.019126057	0.100859404	0.101465324
DIM1_HUMAN	0.006356497	0.017688271	0.038233143
NID2_HUMAN	0.100187045	0.302507953	0.373336941
